date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
08-2005,,,"Abilene, TX",45,45,0,0,0,0,
08-2005,,,"Akron, OH",184,146,8,15,15,1,
08-2005,,,"Albany, GA",67,55,4,3,5,1,
08-2005,,,"Albany-Schenectady-Troy, NY",229,132,0,0,97,11,
08-2005,,,"Albuquerque, NM",690,655,0,7,28,1,
08-2005,,,"Alexandria, LA",65,65,0,0,0,0,
08-2005,,,"Allentown-Bethlehem-Easton, PA-NJ",466,440,2,18,6,1,
08-2005,,,"Altoona, PA",3,3,0,0,0,0,
08-2005,,,"Amarillo, TX",84,84,0,0,0,0,
08-2005,,,"Ames, IA",45,21,0,0,24,2,
08-2005,,,"Anchorage, AK",132,82,50,0,0,0,
08-2005,,,"Anderson, IN",38,38,0,0,0,0,
08-2005,,,"Anderson, SC",270,206,16,12,36,6,
08-2005,,,"Ann Arbor, MI",110,81,0,0,29,3,
08-2005,,,"Anniston-Oxford, AL",13,13,0,0,0,0,
08-2005,,,"Appleton, WI",122,80,18,0,24,2,
08-2005,,,"Asheville, NC",396,296,14,0,86,4,
08-2005,,,"Athens-Clarke County, GA",89,73,8,0,8,1,
08-2005,,,"Atlanta-Sandy Springs-Marietta, GA",7579,6277,18,3,1281,26,
08-2005,,,"Atlantic City, NJ",151,149,2,0,0,0,
08-2005,,,"Auburn-Opelika, AL",98,86,0,0,12,2,
08-2005,,,"Augusta-Richmond County, GA-SC",352,348,4,0,0,0,
08-2005,,,"Austin-Round Rock, TX",2117,1485,26,54,552,35,
08-2005,,,"Bakersfield, CA",546,522,4,10,10,2,
08-2005,,,"Baltimore-Towson, MD",834,759,2,0,73,10,
08-2005,,,"Bangor, ME",53,48,0,0,5,1,
08-2005,,,"Barnstable Town, MA",129,116,0,0,13,1,
08-2005,,,"Baton Rouge, LA",467,439,0,13,15,2,
08-2005,,,"Battle Creek, MI",15,15,0,0,0,0,
08-2005,,,"Bay City, MI",7,7,0,0,0,0,
