date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
06-2009,,,"Abilene, TX",17,17,0,0,0,0,96
06-2009,,,"Akron, OH",50,45,0,0,5,1,71
06-2009,,,"Albany, GA",25,18,2,0,5,1,92
06-2009,,,"Albany-Schenectady-Troy, NY",75,64,0,0,11,1,69
06-2009,,,"Albuquerque, NM",181,166,0,6,9,1,100
06-2009,,,"Alexandria, LA",34,34,0,0,0,0,98
06-2009,,,"Allentown-Bethlehem-Easton, PA-NJ",158,145,0,0,13,2,100
06-2009,,,"Altoona, PA",0,0,0,0,0,0,5
06-2009,,,"Amarillo, TX",51,51,0,0,0,0,94
06-2009,,,"Ames, IA",9,9,0,0,0,0,93
06-2009,,,"Anchorage, AK",44,37,0,7,0,0,100
06-2009,,,"Anderson, IN",4,4,0,0,0,0,75
06-2009,,,"Anderson, SC",25,25,0,0,0,0,90
06-2009,,,"Ann Arbor, MI",24,19,0,0,5,1,72
06-2009,,,"Anniston-Oxford, AL",10,10,0,0,0,0,77
06-2009,,,"Appleton, WI",43,37,6,0,0,0,78
06-2009,,,"Asheville, NC",136,133,0,3,0,0,89
06-2009,,,"Athens-Clarke County, GA",16,16,0,0,0,0,67
06-2009,,,"Atlanta-Sandy Springs-Marietta, GA",590,457,0,0,133,5,100
06-2009,,,"Atlantic City-Hammonton, NJ",72,72,0,0,0,0,100
06-2009,,,"Auburn-Opelika, AL",85,58,2,0,25,2,100
06-2009,,,"Augusta-Richmond County, GA-SC",289,254,0,0,35,3,71
06-2009,,,"Austin-Round Rock, TX",1269,760,0,0,509,14,100
06-2009,,,"Bakersfield, CA",161,142,8,6,5,1,94
06-2009,,,"Baltimore-Towson, MD",442,358,0,0,84,5,100
06-2009,,,"Bangor, ME",17,15,2,0,0,0,62
06-2009,,,"Barnstable Town, MA",28,23,0,0,5,1,81
06-2009,,,"Baton Rouge, LA",348,266,6,4,72,6,92
06-2009,,,"Battle Creek, MI",0,0,0,0,0,0,31
06-2009,,,"Bay City, MI",1,1,0,0,0,0,18
06-2009,,,"Beaumont-Port Arthur, TX",100,100,0,0,0,0,63
06-2009,,,"Bellingham, WA",27,22,2,3,0,0,71
06-2009,,,"Bend, OR",40,40,0,0,0,0,100
06-2009,,,"Billings, MT",100,100,0,0,0,0,92
06-2009,,,"Binghamton, NY",2,2,0,0,0,0,15
06-2009,,,"Birmingham-Hoover, AL",163,149,0,0,14,1,100
06-2009,,,"Bismarck, ND",144,67,2,4,71,2,97
