date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
02-2009,,,"Abilene, TX",14,14,0,0,0,0,98
02-2009,,,"Akron, OH",24,19,0,0,5,1,68
02-2009,,,"Albany, GA",14,12,2,0,0,0,96
02-2009,,,"Albany-Schenectady-Troy, NY",49,37,0,12,0,0,75
02-2009,,,"Albuquerque, NM",96,73,0,4,19,1,100
02-2009,,,"Alexandria, LA",19,19,0,0,0,0,99
02-2009,,,"Allentown-Bethlehem-Easton, PA-NJ",84,56,0,0,28,2,100
02-2009,,,"Altoona, PA",1,1,0,0,0,0,9
02-2009,,,"Amarillo, TX",35,35,0,0,0,0,97
02-2009,,,"Ames, IA",0,0,0,0,0,0,94
02-2009,,,"Anchorage, AK",14,14,0,0,0,0,100
02-2009,,,"Anderson, IN",4,4,0,0,0,0,64
02-2009,,,"Anderson, SC",28,28,0,0,0,0,89
02-2009,,,"Ann Arbor, MI",7,7,0,0,0,0,71
02-2009,,,"Anniston-Oxford, AL",11,11,0,0,0,0,83
02-2009,,,"Appleton, WI",28,28,0,0,0,0,81
02-2009,,,"Asheville, NC",80,77,0,3,0,0,94
02-2009,,,"Athens-Clarke County, GA",26,26,0,0,0,0,79
02-2009,,,"Atlanta-Sandy Springs-Marietta, GA",430,403,0,4,23,2,100
02-2009,,,"Atlantic City-Hammonton, NJ",41,36,0,0,5,1,100
02-2009,,,"Auburn-Opelika, AL",63,55,0,8,0,0,100
02-2009,,,"Augusta-Richmond County, GA-SC",106,106,0,0,0,0,75
02-2009,,,"Austin-Round Rock, TX",688,454,2,0,232,4,100
02-2009,,,"Bakersfield, CA",153,73,0,0,80,5,86
02-2009,,,"Baltimore-Towson, MD",160,138,0,0,22,2,100
02-2009,,,"Bangor, ME",3,3,0,0,0,0,53
02-2009,,,"Barnstable Town, MA",15,15,0,0,0,0,87
02-2009,,,"Baton Rouge, LA",181,181,0,0,0,0,93
02-2009,,,"Battle Creek, MI",0,0,0,0,0,0,68
02-2009,,,"Bay City, MI",0,0,0,0,0,0,17
02-2009,,,"Beaumont-Port Arthur, TX",38,38,0,0,0,0,71
02-2009,,,"Bellingham, WA",12,12,0,0,0,0,77
02-2009,,,"Bend, OR",14,14,0,0,0,0,100
02-2009,,,"Billings, MT",17,17,0,0,0,0,92
02-2009,,,"Binghamton, NY",0,0,0,0,0,0,15
02-2009,,,"Birmingham-Hoover, AL",132,116,4,0,12,2,100
