date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
11-2005,,,"Abilene, TX",19,19,0,0,0,0,
11-2005,,,"Akron, OH",120,85,8,3,24,1,
11-2005,,,"Albany, GA",51,46,2,3,0,0,
11-2005,,,"Albany-Schenectady-Troy, NY",144,109,0,0,35,5,
11-2005,,,"Albuquerque, NM",533,502,0,3,28,1,
11-2005,,,"Alexandria, LA",54,54,0,0,0,0,
11-2005,,,"Allentown-Bethlehem-Easton, PA-NJ",399,349,2,6,42,2,
11-2005,,,"Altoona, PA",3,3,0,0,0,0,
11-2005,,,"Amarillo, TX",59,59,0,0,0,0,
11-2005,,,"Ames, IA",18,18,0,0,0,0,
11-2005,,,"Anchorage, AK",90,45,22,12,11,2,
11-2005,,,"Anderson, IN",23,23,0,0,0,0,
11-2005,,,"Anderson, SC",138,126,0,0,12,1,
11-2005,,,"Ann Arbor, MI",76,51,0,0,25,5,
11-2005,,,"Anniston-Oxford, AL",14,14,0,0,0,0,
11-2005,,,"Appleton, WI",54,54,0,0,0,0,
11-2005,,,"Asheville, NC",281,248,10,0,23,2,
11-2005,,,"Athens-Clarke County, GA",83,83,0,0,0,0,
11-2005,,,"Atlanta-Sandy Springs-Marietta, GA",5055,4436,8,11,600,16,
11-2005,,,"Atlantic City, NJ",147,138,2,7,0,0,
11-2005,,,"Auburn-Opelika, AL",195,123,0,0,72,2,
11-2005,,,"Augusta-Richmond County, GA-SC",214,212,2,0,0,0,
11-2005,,,"Austin-Round Rock, TX",1694,1516,22,7,149,9,
11-2005,,,"Bakersfield, CA",651,416,4,59,172,12,
11-2005,,,"Baltimore-Towson, MD",819,672,0,4,143,10,
11-2005,,,"Bangor, ME",23,17,2,4,0,0,
11-2005,,,"Barnstable Town, MA",95,77,2,3,13,1,
11-2005,,,"Baton Rouge, LA",462,430,0,4,28,4,
11-2005,,,"Battle Creek, MI",10,10,0,0,0,0,
11-2005,,,"Bay City, MI",2,2,0,0,0,0,
11-2005,,,"Beaumont-Port Arthur, TX",23,23,0,0,0,0,
11-2005,,,"Bellingham, WA",161,89,4,8,60,1,
11-2005,,,"Bend, OR",326,287,0,10,29,3,
11-2005,,,"Billings, MT",37,37,0,0,0,0,
11-2005,,,"Binghamton, NY",3,3,0,0,0,0,
11-2005,,,"Birmingham-Hoover, AL",611,601,0,0,10,2,
11-2005,,,"Bismarck, ND",61,51,6,4,0,0,
11-2005,,,"Bloomington, IN",87,42,16,3,26,2,
11-2005,,,"Bloomington-Normal, IL",64,52,0,0,12,1,
11-2005,,,"Boise City-Nampa, ID",818,787,4,27,0,0,
11-2005,,,"Boston-Cambridge-Quincy, MA-NH",1234,628,62,18,526,31,
11-2005,,,"Boulder, CO",59,44,0,3,12,1,
11-2005,,,"Bowling Green, KY",79,67,4,8,0,0,
11-2005,,,"Bremerton-Silverdale, WA",325,85,0,0,240,1,
11-2005,,,"Bridgeport-Stamford-Norwalk, CT",345,131,6,0,208,3,
11-2005,,,"Brownsville-Harlingen, TX",220,207,10,3,0,0,
