date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
02-2004,,,"Abilene, TX",12,12,0,0,0,0,
02-2004,,,"Akron, OH",174,153,8,7,6,1,
02-2004,,,"Albany, GA",55,55,0,0,0,0,
02-2004,,,"Albany-Schenectady-Troy, NY",99,87,2,0,10,2,
02-2004,,,"Albuquerque, NM",714,714,0,0,0,0,
02-2004,,,"Alexandria, LA",28,28,0,0,0,0,
02-2004,,,"Allentown-Bethlehem-Easton, PA-NJ",312,290,0,7,15,3,
02-2004,,,"Altoona, PA",1,1,0,0,0,0,
02-2004,,,"Amarillo, TX",73,73,0,0,0,0,
02-2004,,,"Ames, IA",62,22,0,0,40,3,
02-2004,,,"Anchorage, AK",58,50,0,8,0,0,
02-2004,,,"Anderson, IN",22,22,0,0,0,0,
02-2004,,,"Anderson, SC",73,57,4,12,0,0,
02-2004,,,"Ann Arbor, MI",135,122,0,8,5,1,
02-2004,,,"Anniston-Oxford, AL",15,15,0,0,0,0,
02-2004,,,"Appleton, WI",104,92,2,0,10,1,
02-2004,,,"Asheville, NC",198,186,12,0,0,0,
02-2004,,,"Athens-Clarke County, GA",112,112,0,0,0,0,
02-2004,,,"Atlanta-Sandy Springs-Marietta, GA",4925,4403,18,4,500,9,
02-2004,,,"Atlantic City, NJ",112,110,2,0,0,0,
02-2004,,,"Auburn-Opelika, AL",109,60,2,0,47,4,
02-2004,,,"Augusta-Richmond County, GA-SC",198,198,0,0,0,0,
02-2004,,,"Austin-Round Rock, TX",1359,1016,58,20,265,21,
02-2004,,,"Bakersfield, CA",473,409,0,0,64,8,
02-2004,,,"Baltimore-Towson, MD",576,498,0,0,78,4,
02-2004,,,"Bangor, ME",24,24,0,0,0,0,
02-2004,,,"Barnstable Town, MA",81,78,0,3,0,0,
02-2004,,,"Baton Rouge, LA",286,286,0,0,0,0,
02-2004,,,"Battle Creek, MI",13,13,0,0,0,0,
02-2004,,,"Bay City, MI",8,8,0,0,0,0,
02-2004,,,"Beaumont-Port Arthur, TX",33,33,0,0,0,0,
02-2004,,,"Bellingham, WA",124,95,4,4,21,2,
02-2004,,,"Bend, OR",253,180,24,17,32,4,
02-2004,,,"Billings, MT",37,37,0,0,0,0,
02-2004,,,"Binghamton, NY",8,8,0,0,0,0,
02-2004,,,"Birmingham-Hoover, AL",489,476,0,3,10,2,
02-2004,,,"Bismarck, ND",0,0,0,0,0,0,
02-2004,,,"Blacksburg-Christiansburg-Radford, VA",94,89,0,0,5,1,
02-2004,,,"Bloomington, IN",50,31,8,3,8,1,
02-2004,,,"Bloomington-Normal, IL",64,56,8,0,0,0,
02-2004,,,"Boise City-Nampa, ID",552,517,14,21,0,0,
02-2004,,,"Boston-Cambridge-Quincy, MA-NH",660,450,32,15,163,14,
02-2004,,,"Boulder, CO",118,74,8,3,33,4,
02-2004,,,"Bowling Green, KY",57,57,0,0,0,0,
02-2004,,,"Bremerton-Silverdale, WA",91,89,2,0,0,0,
02-2004,,,"Bridgeport-Stamford-Norwalk, CT",115,105,10,0,0,0,
02-2004,,,"Brownsville-Harlingen, TX",306,244,4,42,16,2,
