date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
07-2004,,,"Abilene, TX",26,24,2,0,0,0,
07-2004,,,"Akron, OH",280,249,2,11,18,1,
07-2004,,,"Albany, GA",75,59,0,16,0,0,
07-2004,,,"Albany-Schenectady-Troy, NY",232,188,2,0,42,3,
07-2004,,,"Albuquerque, NM",642,642,0,0,0,0,
07-2004,,,"Alexandria, LA",62,62,0,0,0,0,
07-2004,,,"Allentown-Bethlehem-Easton, PA-NJ",416,387,0,13,16,1,
07-2004,,,"Altoona, PA",3,3,0,0,0,0,
07-2004,,,"Amarillo, TX",105,72,2,16,15,1,
07-2004,,,"Ames, IA",24,24,0,0,0,0,
07-2004,,,"Anchorage, AK",180,110,22,24,24,2,
07-2004,,,"Anderson, IN",41,41,0,0,0,0,
07-2004,,,"Anderson, SC",106,104,2,0,0,0,
07-2004,,,"Ann Arbor, MI",258,171,2,3,82,9,
07-2004,,,"Anniston-Oxford, AL",13,13,0,0,0,0,
07-2004,,,"Appleton, WI",106,100,6,0,0,0,
07-2004,,,"Asheville, NC",303,280,4,3,16,2,
07-2004,,,"Athens-Clarke County, GA",90,78,0,0,12,2,
07-2004,,,"Atlanta-Sandy Springs-Marietta, GA",7555,4759,26,12,2758,37,
07-2004,,,"Atlantic City, NJ",238,221,10,7,0,0,
07-2004,,,"Auburn-Opelika, AL",90,42,0,0,48,6,
07-2004,,,"Augusta-Richmond County, GA-SC",280,280,0,0,0,0,
07-2004,,,"Austin-Round Rock, TX",1443,1161,6,11,265,13,
07-2004,,,"Bakersfield, CA",616,598,4,4,10,1,
07-2004,,,"Baltimore-Towson, MD",794,655,0,16,123,6,
07-2004,,,"Bangor, ME",41,41,0,0,0,0,
07-2004,,,"Barnstable Town, MA",125,104,2,19,0,0,
07-2004,,,"Baton Rouge, LA",363,363,0,0,0,0,
07-2004,,,"Battle Creek, MI",28,28,0,0,0,0,
07-2004,,,"Bay City, MI",13,13,0,0,0,0,
07-2004,,,"Beaumont-Port Arthur, TX",76,64,0,0,12,1,
07-2004,,,"Bellingham, WA",196,125,6,13,52,3,
07-2004,,,"Bend, OR",309,284,16,9,0,0,
07-2004,,,"Billings, MT",76,49,0,3,24,1,
07-2004,,,"Binghamton, NY",15,15,0,0,0,0,
07-2004,,,"Birmingham-Hoover, AL",609,592,4,0,13,2,
07-2004,,,"Bismarck, ND",81,73,0,8,0,0,
07-2004,,,"Blacksburg-Christiansburg-Radford, VA",100,100,0,0,0,0,
07-2004,,,"Bloomington, IN",105,64,18,4,19,2,
07-2004,,,"Bloomington-Normal, IL",111,111,0,0,0,0,
07-2004,,,"Boise City-Nampa, ID",861,683,16,148,14,1,
07-2004,,,"Boston-Cambridge-Quincy, MA-NH",1248,775,88,60,325,24,
07-2004,,,"Boulder, CO",85,85,0,0,0,0,
07-2004,,,"Bowling Green, KY",172,49,0,3,120,5,
07-2004,,,"Bremerton-Silverdale, WA",142,142,0,0,0,0,
07-2004,,,"Bridgeport-Stamford-Norwalk, CT",318,211,8,59,40,4,
07-2004,,,"Brownsville-Harlingen, TX",240,230,4,0,6,1,
07-2004,,,"Brunswick, GA",79,79,0,0,0,0,
07-2004,,,"Buffalo-Niagara Falls, NY",202,124,0,0,78,4,
07-2004,,,"Burlington, NC",132,102,0,0,30,4,
07-2004,,,"Burlington-South Burlington, VT",111,60,10,6,35,3,
07-2004,,,"Canton-Massillon, OH",115,107,0,3,5,1,
07-2004,,,"Cape Coral-Fort Myers, FL",1815,1496,4,6,309,9,
07-2004,,,"Carson City, NV",10,8,2,0,0,0,
07-2004,,,"Casper, WY",26,26,0,0,0,0,
07-2004,,,"Cedar Rapids, IA",194,95,2,23,74,7,
07-2004,,,"Champaign-Urbana, IL",63,63,0,0,0,0,
07-2004,,,"Charleston, WV",42,42,0,0,0,0,
07-2004,,,"Charleston-North Charleston, SC",958,557,2,16,383,21,
07-2004,,,"Charlotte-Gastonia-Concord, NC-SC",2638,1576,38,84,940,54,
07-2004,,,"Charlottesville, VA",171,114,6,4,47,3,
07-2004,,,"Chattanooga, TN-GA",258,225,8,11,14,2,
07-2004,,,"Cheyenne, WY",158,92,0,0,66,11,
07-2004,,,"Chicago-Naperville-Joliet, IL-IN-WI",4447,3471,78,252,646,49,
07-2004,,,"Chico, CA",180,150,0,9,21,1,
07-2004,,,"Cincinnati-Middletown, OH-KY-IN",1151,982,8,11,150,19,
07-2004,,,"Clarksville, TN-KY",445,338,4,24,79,5,
07-2004,,,"Cleveland, TN",54,51,0,3,0,0,
07-2004,,,"Cleveland-Elyria-Mentor, OH",579,554,6,19,0,0,
07-2004,,,"Coeur d""Alene, ID",259,187,6,0,66,11,
07-2004,,,"College Station-Bryan, TX",71,65,0,0,6,1,
07-2004,,,"Colorado Springs, CO",570,570,0,0,0,0,
07-2004,,,"Columbia, MO",129,108,12,0,9,1,
07-2004,,,"Columbia, SC",610,520,2,0,88,5,
07-2004,,,"Columbus, GA-AL",113,103,10,0,0,0,
07-2004,,,"Columbus, IN",26,26,0,0,0,0,
07-2004,,,"Columbus, OH",1133,894,14,115,110,16,
07-2004,,,"Corpus Christi, TX",139,133,6,0,0,0,
