date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
12-2005,,,"Abilene, TX",29,15,14,0,0,0,
12-2005,,,"Akron, OH",92,69,4,3,16,1,
12-2005,,,"Albany, GA",45,43,2,0,0,0,
12-2005,,,"Albany-Schenectady-Troy, NY",205,86,0,20,99,11,
12-2005,,,"Albuquerque, NM",524,497,0,3,24,1,
12-2005,,,"Alexandria, LA",55,55,0,0,0,0,
12-2005,,,"Allentown-Bethlehem-Easton, PA-NJ",296,281,2,6,7,1,
12-2005,,,"Altoona, PA",4,2,2,0,0,0,
12-2005,,,"Amarillo, TX",81,81,0,0,0,0,
12-2005,,,"Ames, IA",39,15,0,0,24,2,
12-2005,,,"Anchorage, AK",242,95,36,42,69,5,
12-2005,,,"Anderson, IN",23,23,0,0,0,0,
12-2005,,,"Anderson, SC",80,80,0,0,0,0,
12-2005,,,"Ann Arbor, MI",122,43,2,0,77,7,
12-2005,,,"Anniston-Oxford, AL",15,15,0,0,0,0,
12-2005,,,"Appleton, WI",44,42,2,0,0,0,
12-2005,,,"Asheville, NC",381,228,2,3,148,17,
12-2005,,,"Athens-Clarke County, GA",71,71,0,0,0,0,
12-2005,,,"Atlanta-Sandy Springs-Marietta, GA",5221,4653,6,7,555,21,
12-2005,,,"Atlantic City, NJ",110,110,0,0,0,0,
12-2005,,,"Auburn-Opelika, AL",180,172,0,8,0,0,
12-2005,,,"Augusta-Richmond County, GA-SC",208,208,0,0,0,0,
12-2005,,,"Austin-Round Rock, TX",2069,1466,54,12,537,34,
12-2005,,,"Bakersfield, CA",462,421,6,12,23,4,
12-2005,,,"Baltimore-Towson, MD",780,676,2,4,98,7,
12-2005,,,"Bangor, ME",23,19,0,4,0,0,
12-2005,,,"Barnstable Town, MA",83,67,0,3,13,1,
12-2005,,,"Baton Rouge, LA",408,369,0,4,35,4,
12-2005,,,"Battle Creek, MI",4,4,0,0,0,0,
12-2005,,,"Bay City, MI",4,4,0,0,0,0,
12-2005,,,"Beaumont-Port Arthur, TX",27,27,0,0,0,0,
12-2005,,,"Bellingham, WA",96,79,0,17,0,0,
12-2005,,,"Bend, OR",214,212,2,0,0,0,
12-2005,,,"Billings, MT",31,31,0,0,0,0,
12-2005,,,"Binghamton, NY",2,2,0,0,0,0,
12-2005,,,"Birmingham-Hoover, AL",428,423,0,0,5,1,
12-2005,,,"Bismarck, ND",11,11,0,0,0,0,
12-2005,,,"Bloomington, IN",64,31,12,3,18,1,
12-2005,,,"Bloomington-Normal, IL",41,32,0,0,9,1,
12-2005,,,"Boise City-Nampa, ID",653,635,0,12,6,1,
12-2005,,,"Boston-Cambridge-Quincy, MA-NH",1714,584,64,6,1060,55,
12-2005,,,"Boulder, CO",43,31,0,3,9,1,
12-2005,,,"Bowling Green, KY",67,67,0,0,0,0,
12-2005,,,"Bremerton-Silverdale, WA",89,89,0,0,0,0,
12-2005,,,"Bridgeport-Stamford-Norwalk, CT",369,113,0,3,253,3,
12-2005,,,"Brownsville-Harlingen, TX",252,213,4,10,25,3,
12-2005,,,"Brunswick, GA",73,64,0,0,9,1,
12-2005,,,"Buffalo-Niagara Falls, NY",105,59,2,0,44,3,
12-2005,,,"Burlington, NC",123,123,0,0,0,0,
12-2005,,,"Burlington-South Burlington, VT",37,26,6,0,5,1,
12-2005,,,"Canton-Massillon, OH",48,43,0,0,5,1,
12-2005,,,"Cape Coral-Fort Myers, FL",2189,1215,0,0,974,58,
12-2005,,,"Carson City, NV",15,11,4,0,0,0,
12-2005,,,"Casper, WY",5,5,0,0,0,0,
12-2005,,,"Cedar Rapids, IA",42,26,6,10,0,0,
12-2005,,,"Champaign-Urbana, IL",265,57,0,0,208,3,
12-2005,,,"Charleston, WV",22,22,0,0,0,0,
12-2005,,,"Charleston-North Charleston, SC",813,613,0,3,197,9,
12-2005,,,"Charlotte-Gastonia-Concord, NC-SC",1465,1385,0,8,72,6,
12-2005,,,"Charlottesville, VA",49,49,0,0,0,0,
12-2005,,,"Chattanooga, TN-GA",203,190,4,0,9,1,
12-2005,,,"Cheyenne, WY",63,51,2,4,6,1,
12-2005,,,"Chicago-Naperville-Joliet, IL-IN-WI",3988,2332,82,246,1328,66,
12-2005,,,"Chico, CA",216,107,48,61,0,0,
12-2005,,,"Cincinnati-Middletown, OH-KY-IN",718,577,10,7,124,11,
12-2005,,,"Clarksville, TN-KY",102,82,0,4,16,2,
12-2005,,,"Cleveland, TN",42,42,0,0,0,0,
12-2005,,,"Cleveland-Elyria-Mentor, OH",329,320,2,7,0,0,
12-2005,,,"Coeur d""Alene, ID",155,108,14,7,26,2,
12-2005,,,"College Station-Bryan, TX",76,56,8,0,12,2,
12-2005,,,"Colorado Springs, CO",490,407,8,11,64,8,
12-2005,,,"Columbia, MO",88,84,0,4,0,0,
12-2005,,,"Columbia, SC",555,504,2,0,49,2,
12-2005,,,"Columbus, GA-AL",151,118,0,4,29,2,
12-2005,,,"Columbus, IN",19,19,0,0,0,0,
12-2005,,,"Columbus, OH",707,471,14,112,110,16,
12-2005,,,"Corpus Christi, TX",137,129,8,0,0,0,
12-2005,,,"Corvallis, OR",33,16,0,0,17,1,
12-2005,,,"Cumberland, MD-WV",4,4,0,0,0,0,
12-2005,,,"Dallas-Fort Worth-Arlington, TX",5458,3903,48,7,1500,71,
12-2005,,,"Dalton, GA",62,51,2,3,6,1,
12-2005,,,"Danville, IL",0,0,0,0,0,0,
12-2005,,,"Danville, VA",23,18,0,0,5,1,
12-2005,,,"Davenport-Moline-Rock Island, IA-IL",36,32,4,0,0,0,
12-2005,,,"Dayton, OH",133,133,0,0,0,0,
12-2005,,,"Decatur, AL",15,15,0,0,0,0,
12-2005,,,"Decatur, IL",2,2,0,0,0,0,
12-2005,,,"Deltona-Daytona Beach-Ormond Beach, FL",820,287,0,0,533,5,
12-2005,,,"Denver-Aurora, CO",1690,1386,10,3,291,18,
12-2005,,,"Des Moines, IA",268,244,0,0,24,1,
12-2005,,,"Detroit-Warren-Livonia, MI",681,604,4,19,54,5,
12-2005,,,"Dothan, AL",41,41,0,0,0,0,
12-2005,,,"Dover, DE",163,139,0,0,24,2,
12-2005,,,"Dubuque, IA",15,11,4,0,0,0,
12-2005,,,"Duluth, MN-WI",57,38,4,3,12,1,
12-2005,,,"Durham, NC",261,261,0,0,0,0,
12-2005,,,"Eau Claire, WI",19,13,2,4,0,0,
12-2005,,,"El Centro, CA",85,77,0,0,8,1,
12-2005,,,"El Paso, TX",260,254,0,0,6,1,
12-2005,,,"Elizabethtown, KY",70,68,2,0,0,0,
12-2005,,,"Elkhart-Goshen, IN",61,61,0,0,0,0,
12-2005,,,"Elmira, NY",1,1,0,0,0,0,
12-2005,,,"Erie, PA",74,15,0,0,59,3,
12-2005,,,"Eugene-Springfield, OR",186,94,8,0,84,6,
12-2005,,,"Evansville, IN-KY",84,64,0,0,20,2,
12-2005,,,"Fairbanks, AK",5,5,0,0,0,0,
12-2005,,,"Fargo, ND-MN",261,9,0,0,252,6,
12-2005,,,"Farmington, NM",27,21,2,4,0,0,
12-2005,,,"Fayetteville, NC",356,154,2,8,192,13,
12-2005,,,"Fayetteville-Springdale-Rogers, AR-MO",597,458,20,6,113,10,
12-2005,,,"Flagstaff, AZ",62,62,0,0,0,0,
12-2005,,,"Flint, MI",47,47,0,0,0,0,
12-2005,,,"Florence, SC",30,30,0,0,0,0,
12-2005,,,"Florence-Muscle Shoals, AL",23,23,0,0,0,0,
12-2005,,,"Fond du Lac, WI",22,22,0,0,0,0,
12-2005,,,"Fort Collins-Loveland, CO",115,101,8,6,0,0,
12-2005,,,"Fort Smith, AR-OK",56,56,0,0,0,0,
12-2005,,,"Fort Walton Beach-Crestview-Destin, FL",260,82,0,0,178,2,
12-2005,,,"Fort Wayne, IN",108,101,2,0,5,1,
12-2005,,,"Fresno, CA",299,222,6,9,62,12,
12-2005,,,"Gadsden, AL",4,4,0,0,0,0,
12-2005,,,"Gainesville, FL",150,117,0,0,33,2,
12-2005,,,"Gainesville, GA",109,109,0,0,0,0,
12-2005,,,"Glens Falls, NY",35,35,0,0,0,0,
12-2005,,,"Goldsboro, NC",23,23,0,0,0,0,
12-2005,,,"Grand Forks, ND-MN",1,1,0,0,0,0,
12-2005,,,"Grand Junction, CO",129,123,6,0,0,0,
12-2005,,,"Grand Rapids-Wyoming, MI",206,188,2,3,13,1,
12-2005,,,"Great Falls, MT",9,9,0,0,0,0,
12-2005,,,"Greeley, CO",276,268,0,8,0,0,
12-2005,,,"Green Bay, WI",74,58,2,0,14,1,
12-2005,,,"Greensboro-High Point, NC",498,379,0,4,115,11,
12-2005,,,"Greenville, NC",129,85,36,0,8,1,
12-2005,,,"Greenville, SC",377,343,0,0,34,2,
12-2005,,,"Gulfport-Biloxi, MS",93,88,0,0,5,1,
12-2005,,,"Hagerstown-Martinsburg, MD-WV",213,174,10,7,22,3,
12-2005,,,"Hanford-Corcoran, CA",60,60,0,0,0,0,
12-2005,,,"Harrisburg-Carlisle, PA",103,103,0,0,0,0,
12-2005,,,"Harrisonburg, VA",60,60,0,0,0,0,
12-2005,,,"Hartford-West Hartford-East Hartford, CT",270,183,14,0,73,8,
12-2005,,,"Hattiesburg, MS",40,8,0,4,28,2,
12-2005,,,"Hickory-Lenoir-Morganton, NC",91,87,4,0,0,0,
12-2005,,,"Hinesville-Fort Stewart, GA",6,6,0,0,0,0,
12-2005,,,"Holland-Grand Haven, MI",98,58,4,4,32,3,
12-2005,,,"Honolulu, HI",313,177,0,8,128,4,
12-2005,,,"Hot Springs, AR",11,11,0,0,0,0,
12-2005,,,"Houma-Bayou Cane-Thibodaux, LA",111,111,0,0,0,0,
12-2005,,,"Houston-Baytown-Sugar Land, TX",3595,3314,46,66,169,11,
12-2005,,,"Huntington-Ashland, WV-KY-OH",4,4,0,0,0,0,
12-2005,,,"Huntsville, AL",325,233,0,12,80,10,
12-2005,,,"Idaho Falls, ID",108,88,8,12,0,0,
12-2005,,,"Indianapolis, IN",1092,763,26,4,299,32,
12-2005,,,"Iowa City, IA",52,39,0,0,13,1,
12-2005,,,"Ithaca, NY",4,4,0,0,0,0,
12-2005,,,"Jackson, MI",10,10,0,0,0,0,
12-2005,,,"Jackson, MS",306,273,0,0,33,3,
12-2005,,,"Jackson, TN",48,48,0,0,0,0,
12-2005,,,"Jacksonville, FL",1742,1128,4,0,610,54,
12-2005,,,"Jacksonville, NC",93,83,10,0,0,0,
12-2005,,,"Janesville, WI",42,36,2,4,0,0,
12-2005,,,"Jefferson City, MO",19,16,0,3,0,0,
12-2005,,,"Johnson City, TN",165,98,0,3,64,7,
