date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
09-2004,,,"Abilene, TX",30,30,0,0,0,0,
09-2004,,,"Akron, OH",273,194,10,12,57,5,
09-2004,,,"Albany, GA",54,49,0,0,5,1,
09-2004,,,"Albany-Schenectady-Troy, NY",195,160,0,0,35,3,
09-2004,,,"Albuquerque, NM",621,595,0,4,22,1,
09-2004,,,"Alexandria, LA",42,42,0,0,0,0,
09-2004,,,"Allentown-Bethlehem-Easton, PA-NJ",403,367,2,23,11,2,
09-2004,,,"Altoona, PA",2,2,0,0,0,0,
09-2004,,,"Amarillo, TX",53,53,0,0,0,0,
09-2004,,,"Ames, IA",15,15,0,0,0,0,
09-2004,,,"Anchorage, AK",196,93,40,0,63,10,
09-2004,,,"Anderson, IN",40,40,0,0,0,0,
09-2004,,,"Anderson, SC",84,84,0,0,0,0,
09-2004,,,"Ann Arbor, MI",279,143,0,0,136,6,
09-2004,,,"Anniston-Oxford, AL",11,11,0,0,0,0,
09-2004,,,"Appleton, WI",74,59,10,0,5,1,
09-2004,,,"Asheville, NC",251,216,8,21,6,1,
09-2004,,,"Athens-Clarke County, GA",340,340,0,0,0,0,
09-2004,,,"Atlanta-Sandy Springs-Marietta, GA",5314,4833,18,33,430,5,
09-2004,,,"Atlantic City, NJ",156,146,2,3,5,1,
09-2004,,,"Auburn-Opelika, AL",50,38,2,0,10,2,
09-2004,,,"Augusta-Richmond County, GA-SC",313,313,0,0,0,0,
09-2004,,,"Austin-Round Rock, TX",1666,1199,24,8,435,26,
09-2004,,,"Bakersfield, CA",597,582,4,0,11,1,
09-2004,,,"Baltimore-Towson, MD",651,554,2,4,91,7,
09-2004,,,"Bangor, ME",44,38,6,0,0,0,
09-2004,,,"Barnstable Town, MA",111,101,0,10,0,0,
09-2004,,,"Baton Rouge, LA",313,313,0,0,0,0,
09-2004,,,"Battle Creek, MI",21,21,0,0,0,0,
09-2004,,,"Bay City, MI",8,8,0,0,0,0,
09-2004,,,"Beaumont-Port Arthur, TX",57,47,0,0,10,1,
09-2004,,,"Bellingham, WA",217,138,4,7,68,3,
09-2004,,,"Bend, OR",333,321,12,0,0,0,
09-2004,,,"Billings, MT",166,46,0,0,120,5,
09-2004,,,"Binghamton, NY",11,11,0,0,0,0,
09-2004,,,"Birmingham-Hoover, AL",688,490,0,0,198,16,
09-2004,,,"Bismarck, ND",85,71,2,12,0,0,
09-2004,,,"Blacksburg-Christiansburg-Radford, VA",87,85,2,0,0,0,
09-2004,,,"Bloomington, IN",126,61,26,3,36,3,
09-2004,,,"Bloomington-Normal, IL",52,49,0,3,0,0,
09-2004,,,"Boise City-Nampa, ID",678,642,8,15,13,2,
