date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
10-2005,,,"Abilene, TX",18,18,0,0,0,0,
10-2005,,,"Akron, OH",191,166,0,3,22,2,
10-2005,,,"Albany, GA",55,47,4,4,0,0,
10-2005,,,"Albany-Schenectady-Troy, NY",266,130,0,0,136,18,
10-2005,,,"Albuquerque, NM",583,552,0,7,24,1,
10-2005,,,"Alexandria, LA",64,64,0,0,0,0,
10-2005,,,"Allentown-Bethlehem-Easton, PA-NJ",376,369,4,3,0,0,
10-2005,,,"Altoona, PA",2,2,0,0,0,0,
10-2005,,,"Amarillo, TX",350,62,0,0,288,12,
10-2005,,,"Ames, IA",48,22,0,0,26,2,
10-2005,,,"Anchorage, AK",124,51,32,41,0,0,
10-2005,,,"Anderson, IN",33,33,0,0,0,0,
10-2005,,,"Anderson, SC",105,105,0,0,0,0,
10-2005,,,"Ann Arbor, MI",100,69,2,0,29,5,
10-2005,,,"Anniston-Oxford, AL",21,21,0,0,0,0,
10-2005,,,"Appleton, WI",97,89,8,0,0,0,
10-2005,,,"Asheville, NC",290,269,2,0,19,1,
10-2005,,,"Athens-Clarke County, GA",123,77,46,0,0,0,
10-2005,,,"Atlanta-Sandy Springs-Marietta, GA",5742,5124,4,16,598,13,
10-2005,,,"Atlantic City, NJ",188,177,6,0,5,1,
10-2005,,,"Auburn-Opelika, AL",163,127,0,0,36,2,
10-2005,,,"Augusta-Richmond County, GA-SC",252,252,0,0,0,0,
10-2005,,,"Austin-Round Rock, TX",2411,1363,30,6,1012,26,
10-2005,,,"Bakersfield, CA",589,481,18,10,80,8,
10-2005,,,"Baltimore-Towson, MD",920,810,4,19,87,9,
10-2005,,,"Bangor, ME",31,29,2,0,0,0,
10-2005,,,"Barnstable Town, MA",86,75,0,0,11,1,
10-2005,,,"Baton Rouge, LA",478,455,2,6,15,2,
10-2005,,,"Battle Creek, MI",12,12,0,0,0,0,
10-2005,,,"Bay City, MI",4,4,0,0,0,0,
10-2005,,,"Beaumont-Port Arthur, TX",7,7,0,0,0,0,
10-2005,,,"Bellingham, WA",262,82,2,4,174,3,
10-2005,,,"Bend, OR",436,319,18,3,96,2,
10-2005,,,"Billings, MT",68,64,0,4,0,0,
10-2005,,,"Binghamton, NY",6,6,0,0,0,0,
10-2005,,,"Birmingham-Hoover, AL",700,632,2,0,66,5,
10-2005,,,"Bismarck, ND",62,50,0,0,12,1,
10-2005,,,"Bloomington, IN",59,42,2,0,15,3,
10-2005,,,"Bloomington-Normal, IL",74,61,0,0,13,1,
10-2005,,,"Boise City-Nampa, ID",843,799,12,32,0,0,
10-2005,,,"Boston-Cambridge-Quincy, MA-NH",1235,677,38,31,489,29,
10-2005,,,"Boulder, CO",50,42,0,0,8,1,
10-2005,,,"Bowling Green, KY",102,102,0,0,0,0,
10-2005,,,"Bremerton-Silverdale, WA",114,111,0,3,0,0,
10-2005,,,"Bridgeport-Stamford-Norwalk, CT",225,114,6,0,105,2,
10-2005,,,"Brownsville-Harlingen, TX",237,212,2,23,0,0,
10-2005,,,"Brunswick, GA",60,60,0,0,0,0,
10-2005,,,"Buffalo-Niagara Falls, NY",173,163,6,4,0,0,
10-2005,,,"Burlington, NC",139,135,0,4,0,0,
10-2005,,,"Burlington-South Burlington, VT",64,44,14,0,6,1,
10-2005,,,"Canton-Massillon, OH",83,76,2,0,5,1,
10-2005,,,"Cape Coral-Fort Myers, FL",2105,1560,14,0,531,42,
10-2005,,,"Carson City, NV",5,5,0,0,0,0,
10-2005,,,"Casper, WY",24,24,0,0,0,0,
10-2005,,,"Cedar Rapids, IA",98,77,6,3,12,1,
10-2005,,,"Champaign-Urbana, IL",59,59,0,0,0,0,
10-2005,,,"Charleston, WV",33,33,0,0,0,0,
10-2005,,,"Charleston-North Charleston, SC",742,711,0,0,31,3,
10-2005,,,"Charlotte-Gastonia-Concord, NC-SC",1901,1659,4,4,234,9,
10-2005,,,"Charlottesville, VA",140,93,2,4,41,1,
10-2005,,,"Chattanooga, TN-GA",265,253,4,0,8,1,
10-2005,,,"Cheyenne, WY",72,58,0,4,10,2,
10-2005,,,"Chicago-Naperville-Joliet, IL-IN-WI",4657,3177,110,188,1182,82,
