date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
08-2006,,,"Abilene, TX",32,32,0,0,0,0,
08-2006,,,"Akron, OH",143,111,2,10,20,1,
08-2006,,,"Albany, GA",52,47,2,3,0,0,
08-2006,,,"Albany-Schenectady-Troy, NY",118,102,16,0,0,0,
08-2006,,,"Albuquerque, NM",336,328,0,0,8,1,
08-2006,,,"Alexandria, LA",60,60,0,0,0,0,
08-2006,,,"Allentown-Bethlehem-Easton, PA-NJ",325,300,4,6,15,3,
08-2006,,,"Altoona, PA",2,2,0,0,0,0,
08-2006,,,"Amarillo, TX",195,51,0,0,144,6,
08-2006,,,"Ames, IA",27,15,0,0,12,1,
08-2006,,,"Anchorage, AK",275,68,12,0,195,17,
08-2006,,,"Anderson, IN",34,34,0,0,0,0,
08-2006,,,"Anderson, SC",340,100,0,0,240,10,
08-2006,,,"Ann Arbor, MI",62,44,2,0,16,3,
08-2006,,,"Anniston-Oxford, AL",25,21,4,0,0,0,
08-2006,,,"Appleton, WI",63,51,2,0,10,1,
08-2006,,,"Asheville, NC",378,340,0,4,34,1,
08-2006,,,"Athens-Clarke County, GA",50,40,0,0,10,1,
08-2006,,,"Atlanta-Sandy Springs-Marietta, GA",7141,5144,42,19,1936,29,
08-2006,,,"Atlantic City, NJ",167,151,2,4,10,1,
08-2006,,,"Auburn-Opelika, AL",267,267,0,0,0,0,
08-2006,,,"Augusta-Richmond County, GA-SC",223,221,2,0,0,0,
08-2006,,,"Austin-Round Rock, TX",2988,1750,28,0,1210,49,
08-2006,,,"Bakersfield, CA",562,454,8,84,16,2,
08-2006,,,"Baltimore-Towson, MD",630,520,2,3,105,9,
08-2006,,,"Bangor, ME",30,30,0,0,0,0,
08-2006,,,"Barnstable Town, MA",96,83,0,3,10,1,
08-2006,,,"Baton Rouge, LA",581,523,0,3,55,5,
08-2006,,,"Battle Creek, MI",6,6,0,0,0,0,
08-2006,,,"Bay City, MI",4,4,0,0,0,0,
08-2006,,,"Beaumont-Port Arthur, TX",154,34,0,0,120,12,
08-2006,,,"Bellingham, WA",163,100,0,0,63,2,
08-2006,,,"Bend, OR",253,233,16,4,0,0,
08-2006,,,"Billings, MT",57,57,0,0,0,0,
08-2006,,,"Binghamton, NY",5,5,0,0,0,0,
08-2006,,,"Birmingham-Hoover, AL",702,598,4,0,100,5,
08-2006,,,"Bismarck, ND",99,93,6,0,0,0,
08-2006,,,"Bloomington, IN",57,50,2,0,5,1,
08-2006,,,"Bloomington-Normal, IL",57,44,0,0,13,2,
08-2006,,,"Boise City-Nampa, ID",657,583,0,39,35,1,
08-2006,,,"Boston-Cambridge-Quincy, MA-NH",1128,533,78,19,498,21,
08-2006,,,"Boulder, CO",44,36,0,0,8,1,
08-2006,,,"Bowling Green, KY",71,55,8,8,0,0,
08-2006,,,"Bremerton-Silverdale, WA",128,122,6,0,0,0,
08-2006,,,"Bridgeport-Stamford-Norwalk, CT",128,97,12,8,11,2,
08-2006,,,"Brownsville-Harlingen, TX",227,220,4,3,0,0,
08-2006,,,"Brunswick, GA",90,90,0,0,0,0,
08-2006,,,"Buffalo-Niagara Falls, NY",196,104,0,0,92,11,
08-2006,,,"Burlington, NC",131,131,0,0,0,0,
08-2006,,,"Burlington-South Burlington, VT",70,54,8,3,5,1,
08-2006,,,"Canton-Massillon, OH",72,62,0,0,10,2,
08-2006,,,"Cape Coral-Fort Myers, FL",1317,1071,12,0,234,28,
08-2006,,,"Carson City, NV",19,17,2,0,0,0,
08-2006,,,"Casper, WY",33,33,0,0,0,0,
08-2006,,,"Cedar Rapids, IA",89,62,6,13,8,1,
08-2006,,,"Champaign-Urbana, IL",72,40,0,0,32,4,
08-2006,,,"Charleston, WV",28,28,0,0,0,0,
08-2006,,,"Charleston-North Charleston, SC",530,476,4,0,50,5,
08-2006,,,"Charlotte-Gastonia-Concord, NC-SC",1975,1711,2,4,258,13,
08-2006,,,"Charlottesville, VA",83,80,0,3,0,0,
08-2006,,,"Chattanooga, TN-GA",335,219,6,3,107,3,
08-2006,,,"Cheyenne, WY",53,40,0,4,9,1,
08-2006,,,"Chicago-Naperville-Joliet, IL-IN-WI",4360,2683,60,206,1411,55,
08-2006,,,"Chico, CA",105,105,0,0,0,0,
08-2006,,,"Cincinnati-Middletown, OH-KY-IN",803,658,10,22,113,16,
08-2006,,,"Clarksville, TN-KY",596,205,16,8,367,20,
08-2006,,,"Cleveland, TN",58,50,8,0,0,0,
08-2006,,,"Cleveland-Elyria-Mentor, OH",468,441,10,7,10,2,
08-2006,,,"Coeur dAlene, ID",119,97,6,0,16,1,
08-2006,,,"College Station-Bryan, TX",48,48,0,0,0,0,
08-2006,,,"Colorado Springs, CO",384,336,2,20,26,2,
08-2006,,,"Columbia, MO",96,66,30,0,0,0,
08-2006,,,"Columbia, SC",564,502,0,0,62,4,
08-2006,,,"Columbus, GA-AL",169,133,0,3,33,3,
08-2006,,,"Columbus, IN",19,19,0,0,0,0,
08-2006,,,"Columbus, OH",694,493,18,89,94,11,
08-2006,,,"Corpus Christi, TX",165,136,4,0,25,2,
08-2006,,,"Corvallis, OR",20,17,0,3,0,0,
08-2006,,,"Cumberland, MD-WV",8,8,0,0,0,0,
08-2006,,,"Dallas-Fort Worth-Arlington, TX",4775,4063,68,11,633,10,
08-2006,,,"Dalton, GA",80,58,2,3,17,2,
08-2006,,,"Danville, IL",2,2,0,0,0,0,
08-2006,,,"Danville, VA",24,19,0,0,5,1,
08-2006,,,"Davenport-Moline-Rock Island, IA-IL",72,46,2,12,12,1,
08-2006,,,"Dayton, OH",253,143,2,0,108,10,
08-2006,,,"Decatur, AL",29,29,0,0,0,0,
08-2006,,,"Decatur, IL",0,0,0,0,0,0,
08-2006,,,"Deltona-Daytona Beach-Ormond Beach, FL",306,231,0,0,75,3,
08-2006,,,"Denver-Aurora, CO",1303,979,16,0,308,20,
08-2006,,,"Des Moines-West Des Moines, IA",366,344,6,4,12,2,
08-2006,,,"Detroit-Warren-Livonia, MI",773,669,18,22,64,7,
08-2006,,,"Dothan, AL",58,58,0,0,0,0,
08-2006,,,"Dover, DE",200,168,0,8,24,1,
08-2006,,,"Dubuque, IA",27,25,2,0,0,0,
08-2006,,,"Duluth, MN-WI",77,64,2,0,11,2,
08-2006,,,"Durham, NC",321,306,6,0,9,1,
08-2006,,,"Eau Claire, WI",88,76,12,0,0,0,
08-2006,,,"El Centro, CA",130,124,0,0,6,1,
08-2006,,,"El Paso, TX",356,356,0,0,0,0,
08-2006,,,"Elizabethtown, KY",60,58,2,0,0,0,
08-2006,,,"Elkhart-Goshen, IN",72,66,2,4,0,0,
08-2006,,,"Elmira, NY",3,3,0,0,0,0,
08-2006,,,"Erie, PA",30,26,4,0,0,0,
08-2006,,,"Eugene-Springfield, OR",127,84,10,0,33,3,
08-2006,,,"Evansville, IN-KY",84,80,0,4,0,0,
08-2006,,,"Fairbanks, AK",41,39,2,0,0,0,
