date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
03-2009,,,"Abilene, TX",19,19,0,0,0,0,98
03-2009,,,"Akron, OH",36,31,0,0,5,1,68
03-2009,,,"Albany, GA",15,13,2,0,0,0,96
03-2009,,,"Albany-Schenectady-Troy, NY",102,44,0,20,38,4,75
03-2009,,,"Albuquerque, NM",120,93,0,11,16,1,100
03-2009,,,"Alexandria, LA",55,55,0,0,0,0,99
03-2009,,,"Allentown-Bethlehem-Easton, PA-NJ",96,96,0,0,0,0,100
03-2009,,,"Altoona, PA",1,1,0,0,0,0,9
03-2009,,,"Amarillo, TX",41,37,0,4,0,0,97
03-2009,,,"Ames, IA",5,5,0,0,0,0,94
03-2009,,,"Anchorage, AK",23,19,0,4,0,0,100
03-2009,,,"Anderson, IN",4,4,0,0,0,0,64
03-2009,,,"Anderson, SC",16,16,0,0,0,0,89
03-2009,,,"Ann Arbor, MI",13,8,0,0,5,1,71
03-2009,,,"Anniston-Oxford, AL",66,16,4,0,46,1,83
03-2009,,,"Appleton, WI",25,23,2,0,0,0,81
03-2009,,,"Asheville, NC",199,93,0,0,106,6,94
03-2009,,,"Athens-Clarke County, GA",40,24,2,0,14,1,79
03-2009,,,"Atlanta-Sandy Springs-Marietta, GA",590,474,2,7,107,5,100
03-2009,,,"Atlantic City-Hammonton, NJ",23,23,0,0,0,0,100
03-2009,,,"Auburn-Opelika, AL",54,49,0,0,5,1,100
03-2009,,,"Augusta-Richmond County, GA-SC",93,93,0,0,0,0,75
03-2009,,,"Austin-Round Rock, TX",785,493,8,11,273,8,100
03-2009,,,"Bakersfield, CA",78,63,6,4,5,1,86
03-2009,,,"Baltimore-Towson, MD",212,196,2,0,14,1,100
03-2009,,,"Bangor, ME",12,12,0,0,0,0,53
03-2009,,,"Barnstable Town, MA",22,17,0,0,5,1,87
03-2009,,,"Baton Rouge, LA",174,174,0,0,0,0,93
03-2009,,,"Battle Creek, MI",0,0,0,0,0,0,68
03-2009,,,"Bay City, MI",2,2,0,0,0,0,17
03-2009,,,"Beaumont-Port Arthur, TX",222,102,0,0,120,4,71
03-2009,,,"Bellingham, WA",21,21,0,0,0,0,77
03-2009,,,"Bend, OR",38,38,0,0,0,0,100
03-2009,,,"Billings, MT",14,14,0,0,0,0,92
03-2009,,,"Binghamton, NY",2,2,0,0,0,0,15
