date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
08-2010,999,10180,"Abilene, TX",13,13,0,0,0,0,94
08-2010,184,10420,"Akron, OH",57,49,0,3,5,1,67
08-2010,999,10500,"Albany, GA",17,15,2,0,0,0,92
08-2010,104,10580,"Albany-Schenectady-Troy, NY",83,61,0,7,15,1,61
08-2010,999,10740,"Albuquerque, NM",147,122,0,3,22,2,100
08-2010,999,10780,"Alexandria, LA",30,28,2,0,0,0,99
08-2010,999,10900,"Allentown-Bethlehem-Easton, PA-NJ",114,95,0,0,19,2,100
08-2010,999,11020,"Altoona, PA",0,0,0,0,0,0,14
08-2010,999,11100,"Amarillo, TX",53,46,2,0,5,1,93
08-2010,112,11180,"Ames, IA",11,11,0,0,0,0,77
08-2010,999,11260,"Anchorage, AK",93,57,0,3,33,3,100
08-2010,294,11300,"Anderson, IN",7,7,0,0,0,0,78
08-2010,273,11340,"Anderson, SC",84,20,0,0,64,3,78
08-2010,220,11460,"Ann Arbor, MI",29,24,0,0,5,1,82
08-2010,999,11500,"Anniston-Oxford, AL",8,8,0,0,0,0,79
08-2010,118,11540,"Appleton, WI",90,22,2,0,66,9,72
08-2010,120,11700,"Asheville, NC",363,83,0,0,280,10,93
08-2010,999,12020,"Athens-Clarke County, GA",14,14,0,0,0,0,60
08-2010,122,12060,"Atlanta-Sandy Springs-Marietta, GA",675,499,0,4,172,6,100
08-2010,999,12100,"Atlantic City-Hammonton, NJ",36,31,2,3,0,0,100
08-2010,194,12220,"Auburn-Opelika, AL",37,37,0,0,0,0,100
08-2010,999,12260,"Augusta-Richmond County, GA-SC",156,156,0,0,0,0,88
08-2010,126,12420,"Austin-Round Rock-San Marcos, TX",669,479,2,0,188,5,100
08-2010,999,12540,"Bakersfield-Delano, CA",148,120,0,0,28,2,98
08-2010,548,12580,"Baltimore-Towson, MD",537,347,0,3,187,5,100
08-2010,999,12620,"Bangor, ME",15,7,0,3,5,1,57
08-2010,999,12700,"Barnstable Town, MA",26,26,0,0,0,0,81
08-2010,132,12940,"Baton Rouge, LA",224,214,2,0,8,1,93
08-2010,999,12980,"Battle Creek, MI",3,3,0,0,0,0,19
08-2010,474,13020,"Bay City, MI",0,0,0,0,0,0,37
08-2010,999,13140,"Beaumont-Port Arthur, TX",35,35,0,0,0,0,72
08-2010,999,13380,"Bellingham, WA",36,31,0,0,5,1,62
08-2010,140,13460,"Bend, OR",30,30,0,0,0,0,100
08-2010,999,13740,"Billings, MT",59,16,0,43,0,0,96
08-2010,999,13780,"Binghamton, NY",4,4,0,0,0,0,12
08-2010,142,13820,"Birmingham-Hoover, AL",117,117,0,0,0,0,100
08-2010,999,13900,"Bismarck, ND",46,39,0,0,7,1,97
08-2010,999,14020,"Bloomington, IN",30,24,6,0,0,0,87
08-2010,999,14060,"Bloomington-Normal, IL",37,30,0,0,7,1,91
08-2010,999,14260,"Boise City-Nampa, ID",90,90,0,0,0,0,100
08-2010,148,14460,"Boston-Cambridge-Quincy, MA-NH",534,309,6,7,212,19,100
08-2010,216,14500,"Boulder, CO",24,19,0,0,5,1,63
08-2010,999,14540,"Bowling Green, KY",69,57,12,0,0,0,100
08-2010,500,14740,"Bremerton-Silverdale, WA",36,36,0,0,0,0,69
08-2010,408,14860,"Bridgeport-Stamford-Norwalk, CT",46,40,0,0,6,1,96
08-2010,154,15180,"Brownsville-Harlingen, TX",95,92,0,3,0,0,88
08-2010,999,15260,"Brunswick, GA",25,25,0,0,0,0,79
08-2010,160,15380,"Buffalo-Niagara Falls, NY",55,55,0,0,0,0,66
08-2010,268,15500,"Burlington, NC",30,30,0,0,0,0,96
08-2010,999,15540,"Burlington-South Burlington, VT",23,21,2,0,0,0,84
08-2010,999,15940,"Canton-Massillon, OH",33,33,0,0,0,0,92
08-2010,999,15980,"Cape Coral-Fort Myers, FL",81,75,0,0,6,1,100
08-2010,164,16020,"Cape Girardeau-Jackson, MO-IL",18,2,0,0,16,2,99
08-2010,999,16180,"Carson City, NV",2,2,0,0,0,0,100
08-2010,999,16220,"Casper, WY",27,15,0,0,12,1,60
08-2010,999,16300,"Cedar Rapids, IA",91,54,4,11,22,3,93
