date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
04-2006,,,"Abilene, TX",30,28,2,0,0,0,
04-2006,,,"Akron, OH",135,111,10,4,10,1,
04-2006,,,"Albany, GA",51,48,0,3,0,0,
04-2006,,,"Albany-Schenectady-Troy, NY",124,105,0,0,19,3,
04-2006,,,"Albuquerque, NM",524,497,0,3,24,1,
04-2006,,,"Alexandria, LA",66,66,0,0,0,0,
04-2006,,,"Allentown-Bethlehem-Easton, PA-NJ",379,326,2,26,25,3,
04-2006,,,"Altoona, PA",0,0,0,0,0,0,
04-2006,,,"Amarillo, TX",43,43,0,0,0,0,
04-2006,,,"Ames, IA",24,24,0,0,0,0,
04-2006,,,"Anchorage, AK",182,94,38,0,50,7,
04-2006,,,"Anderson, IN",29,29,0,0,0,0,
04-2006,,,"Anderson, SC",91,89,2,0,0,0,
04-2006,,,"Ann Arbor, MI",52,47,0,0,5,1,
04-2006,,,"Anniston-Oxford, AL",12,12,0,0,0,0,
04-2006,,,"Appleton, WI",124,84,8,32,0,0,
04-2006,,,"Asheville, NC",311,255,4,3,49,3,
04-2006,,,"Athens-Clarke County, GA",93,93,0,0,0,0,
04-2006,,,"Atlanta-Sandy Springs-Marietta, GA",6070,4841,12,12,1205,35,
04-2006,,,"Atlantic City, NJ",129,129,0,0,0,0,
04-2006,,,"Auburn-Opelika, AL",368,140,2,0,226,13,
04-2006,,,"Augusta-Richmond County, GA-SC",253,253,0,0,0,0,
04-2006,,,"Austin-Round Rock, TX",2250,1521,52,59,618,10,
04-2006,,,"Bakersfield, CA",545,510,4,11,20,2,
04-2006,,,"Baltimore-Towson, MD",790,706,0,6,78,6,
04-2006,,,"Bangor, ME",37,27,2,8,0,0,
04-2006,,,"Barnstable Town, MA",108,95,0,0,13,2,
04-2006,,,"Baton Rouge, LA",454,395,2,0,57,4,
04-2006,,,"Battle Creek, MI",8,8,0,0,0,0,
04-2006,,,"Bay City, MI",1,1,0,0,0,0,
04-2006,,,"Beaumont-Port Arthur, TX",92,42,0,0,50,10,
04-2006,,,"Bellingham, WA",100,84,6,0,10,1,
04-2006,,,"Bend, OR",330,318,4,8,0,0,
04-2006,,,"Billings, MT",50,50,0,0,0,0,
04-2006,,,"Binghamton, NY",7,7,0,0,0,0,
04-2006,,,"Birmingham-Hoover, AL",556,556,0,0,0,0,
04-2006,,,"Bismarck, ND",89,85,0,4,0,0,
04-2006,,,"Bloomington, IN",54,44,0,0,10,1,
04-2006,,,"Bloomington-Normal, IL",52,46,0,0,6,1,
04-2006,,,"Boise City-Nampa, ID",891,843,20,28,0,0,
04-2006,,,"Boston-Cambridge-Quincy, MA-NH",1935,617,64,80,1174,38,
04-2006,,,"Boulder, CO",44,33,0,3,8,1,
04-2006,,,"Bowling Green, KY",67,67,0,0,0,0,
04-2006,,,"Bremerton-Silverdale, WA",100,79,0,0,21,1,
04-2006,,,"Bridgeport-Stamford-Norwalk, CT",126,103,6,4,13,2,
04-2006,,,"Brownsville-Harlingen, TX",310,300,10,0,0,0,
04-2006,,,"Brunswick, GA",83,77,0,0,6,1,
04-2006,,,"Buffalo-Niagara Falls, NY",138,86,2,0,50,1,
04-2006,,,"Burlington, NC",145,145,0,0,0,0,
04-2006,,,"Burlington-South Burlington, VT",51,39,4,3,5,1,
04-2006,,,"Canton-Massillon, OH",72,72,0,0,0,0,
04-2006,,,"Cape Coral-Fort Myers, FL",1817,1539,10,8,260,34,
04-2006,,,"Carson City, NV",3,3,0,0,0,0,
04-2006,,,"Casper, WY",23,23,0,0,0,0,
04-2006,,,"Cedar Rapids, IA",103,85,8,10,0,0,
04-2006,,,"Champaign-Urbana, IL",95,69,2,0,24,3,
04-2006,,,"Charleston, WV",29,29,0,0,0,0,
04-2006,,,"Charleston-North Charleston, SC",687,604,12,7,64,6,
04-2006,,,"Charlotte-Gastonia-Concord, NC-SC",2513,1793,10,4,706,28,
04-2006,,,"Charlottesville, VA",86,86,0,0,0,0,
04-2006,,,"Chattanooga, TN-GA",223,203,8,6,6,1,
04-2006,,,"Cheyenne, WY",65,50,0,4,11,1,
04-2006,,,"Chicago-Naperville-Joliet, IL-IN-WI",4167,2842,54,194,1077,69,
04-2006,,,"Chico, CA",135,135,0,0,0,0,
04-2006,,,"Cincinnati-Middletown, OH-KY-IN",958,839,6,34,79,9,
04-2006,,,"Clarksville, TN-KY",206,154,0,40,12,2,
04-2006,,,"Cleveland, TN",68,61,4,3,0,0,
04-2006,,,"Cleveland-Elyria-Mentor, OH",492,452,8,22,10,2,
04-2006,,,"Coeur dAlene, ID",167,104,0,0,63,2,
04-2006,,,"College Station-Bryan, TX",136,128,0,8,0,0,
04-2006,,,"Colorado Springs, CO",518,501,0,4,13,2,
04-2006,,,"Columbia, MO",170,128,22,3,17,3,
04-2006,,,"Columbia, SC",581,519,2,0,60,3,
04-2006,,,"Columbus, GA-AL",184,148,0,4,32,3,
04-2006,,,"Columbus, IN",30,30,0,0,0,0,
04-2006,,,"Columbus, OH",800,613,12,28,147,18,
04-2006,,,"Corpus Christi, TX",168,137,6,0,25,1,
04-2006,,,"Corvallis, OR",10,10,0,0,0,0,
04-2006,,,"Cumberland, MD-WV",10,10,0,0,0,0,
04-2006,,,"Dallas-Fort Worth-Arlington, TX",4843,4339,26,12,466,22,
04-2006,,,"Dalton, GA",73,59,2,3,9,1,
04-2006,,,"Danville, IL",0,0,0,0,0,0,
04-2006,,,"Danville, VA",20,20,0,0,0,0,
04-2006,,,"Davenport-Moline-Rock Island, IA-IL",59,55,4,0,0,0,
04-2006,,,"Dayton, OH",167,156,6,0,5,1,
04-2006,,,"Decatur, AL",39,39,0,0,0,0,
04-2006,,,"Decatur, IL",0,0,0,0,0,0,
04-2006,,,"Deltona-Daytona Beach-Ormond Beach, FL",416,296,0,4,116,14,
04-2006,,,"Denver-Aurora, CO",1792,1206,0,10,576,18,
04-2006,,,"Des Moines-West Des Moines, IA",464,416,0,8,40,2,
04-2006,,,"Detroit-Warren-Livonia, MI",983,667,6,6,304,16,
04-2006,,,"Dothan, AL",48,48,0,0,0,0,
04-2006,,,"Dover, DE",145,133,0,0,12,1,
04-2006,,,"Dubuque, IA",40,35,2,3,0,0,
04-2006,,,"Duluth, MN-WI",71,59,4,3,5,1,
04-2006,,,"Durham, NC",367,367,0,0,0,0,
04-2006,,,"Eau Claire, WI",63,59,4,0,0,0,
04-2006,,,"El Centro, CA",107,95,0,0,12,2,
04-2006,,,"El Paso, TX",443,290,0,153,0,0,
04-2006,,,"Elizabethtown, KY",47,47,0,0,0,0,
04-2006,,,"Elkhart-Goshen, IN",72,72,0,0,0,0,
04-2006,,,"Elmira, NY",3,3,0,0,0,0,
04-2006,,,"Erie, PA",28,26,2,0,0,0,
04-2006,,,"Eugene-Springfield, OR",303,107,4,0,192,12,
04-2006,,,"Evansville, IN-KY",122,101,4,3,14,2,
04-2006,,,"Fairbanks, AK",43,27,12,4,0,0,
04-2006,,,"Fargo, ND-MN",206,150,0,4,52,3,
04-2006,,,"Farmington, NM",45,45,0,0,0,0,
04-2006,,,"Fayetteville, NC",419,259,0,0,160,10,
04-2006,,,"Fayetteville-Springdale-Rogers, AR-MO",582,422,58,21,81,9,
04-2006,,,"Flagstaff, AZ",129,65,0,0,64,8,
04-2006,,,"Flint, MI",71,47,0,0,24,1,
04-2006,,,"Florence, SC",69,69,0,0,0,0,
04-2006,,,"Florence-Muscle Shoals, AL",23,23,0,0,0,0,
04-2006,,,"Fond du Lac, WI",10,10,0,0,0,0,
04-2006,,,"Fort Collins-Loveland, CO",181,149,0,0,32,3,
04-2006,,,"Fort Smith, AR-OK",49,49,0,0,0,0,
04-2006,,,"Fort Walton Beach-Crestview-Destin, FL",153,86,0,3,64,1,
04-2006,,,"Fort Wayne, IN",191,107,52,0,32,4,
04-2006,,,"Fresno, CA",356,255,6,7,88,8,
04-2006,,,"Gadsden, AL",13,13,0,0,0,0,
04-2006,,,"Gainesville, FL",137,103,0,0,34,2,
04-2006,,,"Gainesville, GA",132,105,0,10,17,3,
04-2006,,,"Glens Falls, NY",47,44,0,3,0,0,
04-2006,,,"Goldsboro, NC",45,43,2,0,0,0,
04-2006,,,"Grand Forks, ND-MN",24,24,0,0,0,0,
04-2006,,,"Grand Junction, CO",115,115,0,0,0,0,
04-2006,,,"Grand Rapids-Wyoming, MI",286,272,2,0,12,2,
04-2006,,,"Great Falls, MT",15,15,0,0,0,0,
04-2006,,,"Greeley, CO",275,246,0,0,29,2,
04-2006,,,"Green Bay, WI",130,113,6,0,11,2,
04-2006,,,"Greensboro-High Point, NC",477,408,2,4,63,4,
04-2006,,,"Greenville, NC",151,131,20,0,0,0,
04-2006,,,"Greenville, SC",421,421,0,0,0,0,
04-2006,,,"Gulfport-Biloxi, MS",253,243,10,0,0,0,
04-2006,,,"Hagerstown-Martinsburg, MD-WV",180,170,10,0,0,0,
04-2006,,,"Hanford-Corcoran, CA",59,57,2,0,0,0,
04-2006,,,"Harrisburg-Carlisle, PA",97,97,0,0,0,0,
04-2006,,,"Harrisonburg, VA",134,132,2,0,0,0,
04-2006,,,"Hartford-West Hartford-East Hartford, CT",240,205,6,0,29,3,
04-2006,,,"Hattiesburg, MS",15,15,0,0,0,0,
04-2006,,,"Hickory-Lenoir-Morganton, NC",139,137,2,0,0,0,
04-2006,,,"Hinesville-Fort Stewart, GA",0,0,0,0,0,0,
04-2006,,,"Holland-Grand Haven, MI",101,67,0,3,31,2,
04-2006,,,"Honolulu, HI",116,110,0,0,6,1,
04-2006,,,"Hot Springs, AR",13,13,0,0,0,0,
04-2006,,,"Houma-Bayou Cane-Thibodaux, LA",69,69,0,0,0,0,
04-2006,,,"Houston-Sugar Land-Baytown, TX",5729,4393,32,245,1059,58,
04-2006,,,"Huntington-Ashland, WV-KY-OH",6,6,0,0,0,0,
04-2006,,,"Huntsville, AL",250,250,0,0,0,0,
04-2006,,,"Idaho Falls, ID",149,141,0,8,0,0,
04-2006,,,"Indianapolis-Carmel, IN",1053,889,24,19,121,14,
04-2006,,,"Iowa City, IA",61,53,2,0,6,1,
04-2006,,,"Ithaca, NY",9,4,0,0,5,1,
04-2006,,,"Jackson, MI",14,14,0,0,0,0,
04-2006,,,"Jackson, MS",285,285,0,0,0,0,
04-2006,,,"Jackson, TN",44,44,0,0,0,0,
04-2006,,,"Jacksonville, FL",1355,1263,24,0,68,10,
04-2006,,,"Jacksonville, NC",110,100,10,0,0,0,
04-2006,,,"Janesville, WI",69,43,2,3,21,3,
04-2006,,,"Jefferson City, MO",20,20,0,0,0,0,
04-2006,,,"Johnson City, TN",71,71,0,0,0,0,
04-2006,,,"Johnstown, PA",3,3,0,0,0,0,
04-2006,,,"Jonesboro, AR",73,71,2,0,0,0,
04-2006,,,"Joplin, MO",23,18,0,0,5,1,
04-2006,,,"Kalamazoo-Portage, MI",53,53,0,0,0,0,
04-2006,,,"Kankakee-Bradley, IL",13,13,0,0,0,0,
04-2006,,,"Kansas City, MO-KS",990,926,20,28,16,2,
04-2006,,,"Kennewick-Richland-Pasco, WA",162,139,2,12,9,1,
04-2006,,,"Killeen-Temple-Fort Hood, TX",212,196,12,4,0,0,
04-2006,,,"Kingsport-Bristol-Bristol, TN-VA",70,65,0,0,5,1,
04-2006,,,"Kingston, NY",38,31,0,0,7,1,
04-2006,,,"Knoxville, TN",347,311,4,8,24,1,
04-2006,,,"Kokomo, IN",15,15,0,0,0,0,
04-2006,,,"La Crosse, WI-MN",56,53,0,3,0,0,
04-2006,,,"Lafayette, IN",46,46,0,0,0,0,
04-2006,,,"Lafayette, LA",129,126,0,3,0,0,
04-2006,,,"Lake Charles, LA",32,25,2,0,5,1,
04-2006,,,"Lakeland, FL",598,598,0,0,0,0,
04-2006,,,"Lancaster, PA",115,97,2,4,12,2,
04-2006,,,"Lansing-East Lansing, MI",159,91,0,0,68,9,
04-2006,,,"Laredo, TX",192,152,0,8,32,3,
04-2006,,,"Las Cruces, NM",159,153,2,4,0,0,
04-2006,,,"Las Vegas-Paradise, NV",2687,2200,0,42,445,31,
04-2006,,,"Lawrence, KS",25,25,0,0,0,0,
04-2006,,,"Lawton, OK",29,29,0,0,0,0,
04-2006,,,"Lebanon, PA",44,44,0,0,0,0,
04-2006,,,"Lewiston, ID-WA",36,4,0,0,32,1,
04-2006,,,"Lewiston-Auburn, ME",30,26,4,0,0,0,
04-2006,,,"Lexington-Fayette, KY",387,347,0,7,33,3,
04-2006,,,"Lima, OH",5,5,0,0,0,0,
04-2006,,,"Lincoln, NE",112,99,2,0,11,2,
04-2006,,,"Little Rock-North Little Rock, AR",313,293,12,0,8,1,
04-2006,,,"Logan, UT-ID",53,39,0,9,5,1,
04-2006,,,"Longview, TX",22,22,0,0,0,0,
04-2006,,,"Longview, WA",37,37,0,0,0,0,
04-2006,,,"Los Angeles-Long Beach-Santa Ana, CA",3402,1618,52,62,1670,58,
04-2006,,,"Louisville-Jefferson County, KY-IN",345,301,4,4,36,3,
04-2006,,,"Lubbock, TX",106,106,0,0,0,0,
04-2006,,,"Lynchburg, VA",144,144,0,0,0,0,
04-2006,,,"Macon, GA",60,60,0,0,0,0,
04-2006,,,"Madera, CA",105,105,0,0,0,0,
04-2006,,,"Madison, WI",379,227,22,45,85,7,
04-2006,,,"Manchester-Nashua, NH",103,85,4,8,6,1,
04-2006,,,"Mansfield, OH",14,14,0,0,0,0,
04-2006,,,"McAllen-Edinburg-Mission, TX",752,696,2,43,11,2,
04-2006,,,"Medford, OR",130,108,2,0,20,1,
04-2006,,,"Memphis, TN-MS-AR",745,742,0,3,0,0,
04-2006,,,"Merced, CA",225,219,2,4,0,0,
