date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
06-2007,,,"Abilene, TX",23,21,2,0,0,0,
06-2007,,,"Akron, OH",111,97,0,3,11,1,
06-2007,,,"Albany, GA",38,32,2,4,0,0,
06-2007,,,"Albany-Schenectady-Troy, NY",121,82,2,11,26,3,
06-2007,,,"Albuquerque, NM",550,546,4,0,0,0,
06-2007,,,"Alexandria, LA",45,45,0,0,0,0,
06-2007,,,"Allentown-Bethlehem-Easton, PA-NJ",373,310,4,4,55,3,
06-2007,,,"Altoona, PA",4,4,0,0,0,0,
06-2007,,,"Amarillo, TX",50,50,0,0,0,0,
06-2007,,,"Ames, IA",44,23,0,0,21,1,
06-2007,,,"Anchorage, AK",74,43,4,0,27,4,
06-2007,,,"Anderson, IN",17,17,0,0,0,0,
06-2007,,,"Anderson, SC",84,84,0,0,0,0,
06-2007,,,"Ann Arbor, MI",40,35,0,0,5,1,
06-2007,,,"Anniston-Oxford, AL",28,14,0,0,14,2,
06-2007,,,"Appleton, WI",109,51,4,0,54,6,
06-2007,,,"Asheville, NC",336,245,0,11,80,2,
06-2007,,,"Athens-Clarke County, GA",64,64,0,0,0,0,
06-2007,,,"Atlanta-Sandy Springs-Marietta, GA",3993,3021,8,35,929,20,
06-2007,,,"Atlantic City, NJ",122,101,0,0,21,1,
06-2007,,,"Auburn-Opelika, AL",120,103,0,0,17,1,
06-2007,,,"Augusta-Richmond County, GA-SC",177,177,0,0,0,0,
06-2007,,,"Austin-Round Rock, TX",1200,1145,6,3,46,3,
06-2007,,,"Bakersfield, CA",413,340,22,51,0,0,
06-2007,,,"Baltimore-Towson, MD",638,553,0,10,75,6,
06-2007,,,"Bangor, ME",48,29,0,0,19,3,
06-2007,,,"Barnstable Town, MA",53,48,0,0,5,1,
06-2007,,,"Baton Rouge, LA",494,287,10,0,197,14,
06-2007,,,"Battle Creek, MI",53,8,0,0,45,1,
06-2007,,,"Bay City, MI",4,4,0,0,0,0,
06-2007,,,"Beaumont-Port Arthur, TX",75,75,0,0,0,0,
06-2007,,,"Bellingham, WA",98,79,0,7,12,2,
06-2007,,,"Bend, OR",146,144,2,0,0,0,
06-2007,,,"Billings, MT",61,61,0,0,0,0,
06-2007,,,"Binghamton, NY",4,4,0,0,0,0,
06-2007,,,"Birmingham-Hoover, AL",434,434,0,0,0,0,
06-2007,,,"Bismarck, ND",73,65,0,8,0,0,
06-2007,,,"Bloomington, IN",57,53,0,4,0,0,
06-2007,,,"Bloomington-Normal, IL",46,38,0,0,8,1,
06-2007,,,"Boise City-Nampa, ID",450,372,10,68,0,0,
06-2007,,,"Boston-Cambridge-Quincy, MA-NH",776,467,50,25,234,17,
06-2007,,,"Boulder, CO",37,25,2,0,10,2,
06-2007,,,"Bowling Green, KY",81,77,4,0,0,0,
06-2007,,,"Bremerton-Silverdale, WA",81,81,0,0,0,0,
06-2007,,,"Bridgeport-Stamford-Norwalk, CT",129,119,2,3,5,1,
06-2007,,,"Brownsville-Harlingen, TX",189,145,2,24,18,1,
06-2007,,,"Brunswick, GA",97,97,0,0,0,0,
06-2007,,,"Buffalo-Niagara Falls, NY",104,102,2,0,0,0,
06-2007,,,"Burlington, NC",118,118,0,0,0,0,
06-2007,,,"Burlington-South Burlington, VT",55,42,2,0,11,1,
06-2007,,,"Canton-Massillon, OH",62,57,0,0,5,1,
06-2007,,,"Cape Coral-Fort Myers, FL",1086,734,8,4,340,25,
06-2007,,,"Carson City, NV",6,2,0,4,0,0,
06-2007,,,"Casper, WY",26,26,0,0,0,0,
06-2007,,,"Cedar Rapids, IA",99,90,2,7,0,0,
