date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
04-2004,,,"Abilene, TX",32,32,0,0,0,0,
04-2004,,,"Akron, OH",299,261,8,7,23,1,
04-2004,,,"Albany, GA",183,77,10,0,96,13,
04-2004,,,"Albany-Schenectady-Troy, NY",172,162,0,0,10,2,
04-2004,,,"Albuquerque, NM",625,608,0,3,14,1,
04-2004,,,"Alexandria, LA",42,42,0,0,0,0,
04-2004,,,"Allentown-Bethlehem-Easton, PA-NJ",473,458,2,7,6,1,
04-2004,,,"Altoona, PA",29,29,0,0,0,0,
04-2004,,,"Amarillo, TX",74,74,0,0,0,0,
04-2004,,,"Ames, IA",93,41,0,0,52,3,
04-2004,,,"Anchorage, AK",263,117,40,16,90,3,
04-2004,,,"Anderson, IN",82,52,0,7,23,4,
04-2004,,,"Anderson, SC",85,83,2,0,0,0,
04-2004,,,"Ann Arbor, MI",320,199,2,4,115,11,
04-2004,,,"Anniston-Oxford, AL",22,22,0,0,0,0,
04-2004,,,"Appleton, WI",154,152,2,0,0,0,
04-2004,,,"Asheville, NC",290,276,6,8,0,0,
04-2004,,,"Athens-Clarke County, GA",181,177,4,0,0,0,
04-2004,,,"Atlanta-Sandy Springs-Marietta, GA",5625,5041,32,9,543,19,
04-2004,,,"Atlantic City, NJ",196,164,2,3,27,4,
04-2004,,,"Auburn-Opelika, AL",149,97,16,4,32,2,
04-2004,,,"Augusta-Richmond County, GA-SC",328,308,20,0,0,0,
04-2004,,,"Austin-Round Rock, TX",1435,1386,6,4,39,3,
04-2004,,,"Bakersfield, CA",622,616,2,4,0,0,
04-2004,,,"Baltimore-Towson, MD",871,748,2,11,110,10,
04-2004,,,"Bangor, ME",42,40,2,0,0,0,
04-2004,,,"Barnstable Town, MA",186,93,0,9,84,3,
04-2004,,,"Baton Rouge, LA",326,326,0,0,0,0,
04-2004,,,"Battle Creek, MI",17,17,0,0,0,0,
04-2004,,,"Bay City, MI",7,7,0,0,0,0,
04-2004,,,"Beaumont-Port Arthur, TX",69,69,0,0,0,0,
04-2004,,,"Bellingham, WA",280,150,10,8,112,3,
04-2004,,,"Bend, OR",337,278,36,23,0,0,
04-2004,,,"Billings, MT",64,64,0,0,0,0,
04-2004,,,"Binghamton, NY",20,13,0,0,7,1,
04-2004,,,"Birmingham-Hoover, AL",745,705,0,0,40,5,
04-2004,,,"Bismarck, ND",203,94,6,8,95,5,
04-2004,,,"Blacksburg-Christiansburg-Radford, VA",85,73,2,0,10,2,
04-2004,,,"Bloomington, IN",113,67,22,3,21,2,
04-2004,,,"Bloomington-Normal, IL",88,88,0,0,0,0,
04-2004,,,"Boise City-Nampa, ID",729,686,8,24,11,1,
04-2004,,,"Boston-Cambridge-Quincy, MA-NH",1305,770,44,31,460,38,
04-2004,,,"Boulder, CO",136,119,2,0,15,2,
04-2004,,,"Bowling Green, KY",90,90,0,0,0,0,
04-2004,,,"Bremerton-Silverdale, WA",139,133,6,0,0,0,
04-2004,,,"Bridgeport-Stamford-Norwalk, CT",194,163,0,3,28,3,
04-2004,,,"Brownsville-Harlingen, TX",267,242,6,8,11,2,
04-2004,,,"Brunswick, GA",86,81,2,3,0,0,
04-2004,,,"Buffalo-Niagara Falls, NY",179,166,4,4,5,1,
04-2004,,,"Burlington, NC",159,135,0,0,24,1,
04-2004,,,"Burlington-South Burlington, VT",127,77,8,7,35,1,
04-2004,,,"Canton-Massillon, OH",132,123,0,4,5,1,
04-2004,,,"Cape Coral-Fort Myers, FL",1786,1093,160,114,419,31,
04-2004,,,"Carson City, NV",9,9,0,0,0,0,
04-2004,,,"Casper, WY",29,29,0,0,0,0,
04-2004,,,"Cedar Rapids, IA",222,112,12,11,87,6,
04-2004,,,"Champaign-Urbana, IL",108,76,0,0,32,2,
04-2004,,,"Charleston, WV",26,24,2,0,0,0,
04-2004,,,"Charleston-North Charleston, SC",748,647,4,10,87,8,
04-2004,,,"Charlotte-Gastonia-Concord, NC-SC",2164,1894,26,10,234,27,
04-2004,,,"Charlottesville, VA",162,120,4,6,32,1,
04-2004,,,"Chattanooga, TN-GA",297,263,8,8,18,3,
04-2004,,,"Cheyenne, WY",63,45,2,16,0,0,
04-2004,,,"Chicago-Naperville-Joliet, IL-IN-WI",3809,3293,76,59,381,26,
04-2004,,,"Chico, CA",138,136,2,0,0,0,
04-2004,,,"Cincinnati-Middletown, OH-KY-IN",1389,1147,8,35,199,18,
04-2004,,,"Clarksville, TN-KY",202,152,44,6,0,0,
04-2004,,,"Cleveland, TN",60,56,0,4,0,0,
04-2004,,,"Cleveland-Elyria-Mentor, OH",671,635,6,25,5,1,
04-2004,,,"Coeur d""Alene, ID",153,139,10,4,0,0,
04-2004,,,"College Station-Bryan, TX",100,74,0,20,6,1,
04-2004,,,"Colorado Springs, CO",616,616,0,0,0,0,
04-2004,,,"Columbia, MO",163,111,36,0,16,2,
04-2004,,,"Columbia, SC",638,533,0,0,105,10,
04-2004,,,"Columbus, GA-AL",200,142,2,0,56,7,
04-2004,,,"Columbus, IN",32,32,0,0,0,0,
04-2004,,,"Columbus, OH",1518,1085,4,110,319,33,
04-2004,,,"Corpus Christi, TX",166,142,2,3,19,2,
04-2004,,,"Corvallis, OR",18,18,0,0,0,0,
04-2004,,,"Cumberland, MD-WV",28,28,0,0,0,0,
04-2004,,,"Dallas-Fort Worth-Arlington, TX",5211,4593,62,36,520,20,
04-2004,,,"Dalton, GA",91,66,18,7,0,0,
04-2004,,,"Danville, IL",0,0,0,0,0,0,
04-2004,,,"Danville, VA",27,27,0,0,0,0,
04-2004,,,"Davenport-Moline-Rock Island, IA-IL",164,88,6,0,70,5,
04-2004,,,"Dayton, OH",398,252,10,8,128,10,
04-2004,,,"Decatur, AL",26,26,0,0,0,0,
04-2004,,,"Decatur, IL",38,32,0,0,6,1,
04-2004,,,"Deltona-Daytona Beach-Ormond Beach, FL",550,450,0,0,100,4,
04-2004,,,"Denver-Aurora, CO",1835,1500,4,31,300,31,
04-2004,,,"Des Moines, IA",568,502,4,3,59,2,
04-2004,,,"Detroit-Warren-Livonia, MI",2018,1646,8,33,331,32,
04-2004,,,"Dothan, AL",48,48,0,0,0,0,
04-2004,,,"Dover, DE",226,186,0,16,24,2,
04-2004,,,"Dubuque, IA",112,37,8,3,64,1,
04-2004,,,"Duluth, MN-WI",93,87,6,0,0,0,
04-2004,,,"Durham, NC",452,326,2,0,124,7,
04-2004,,,"Eau Claire, WI",145,92,30,0,23,3,
04-2004,,,"El Centro, CA",121,106,0,6,9,1,
04-2004,,,"El Paso, TX",327,319,4,4,0,0,
04-2004,,,"Elizabethtown, KY",76,74,2,0,0,0,
04-2004,,,"Elkhart-Goshen, IN",139,122,0,12,5,1,
04-2004,,,"Elmira, NY",12,4,0,3,5,1,
04-2004,,,"Erie, PA",156,109,2,28,17,3,
04-2004,,,"Eugene-Springfield, OR",140,116,10,0,14,1,
04-2004,,,"Evansville, IN-KY",142,135,4,3,0,0,
04-2004,,,"Fairbanks, AK",72,66,6,0,0,0,
04-2004,,,"Fargo, ND-MN",420,195,8,0,217,8,
04-2004,,,"Farmington, NM",29,29,0,0,0,0,
04-2004,,,"Fayetteville, NC",284,200,0,0,84,8,
04-2004,,,"Fayetteville-Springdale-Rogers, AR-MO",867,279,28,8,552,43,
04-2004,,,"Flagstaff, AZ",83,83,0,0,0,0,
04-2004,,,"Flint, MI",226,223,0,3,0,0,
04-2004,,,"Florence, SC",24,24,0,0,0,0,
04-2004,,,"Fond du Lac, WI",27,23,0,4,0,0,
04-2004,,,"Fort Collins-Loveland, CO",367,296,12,23,36,5,
04-2004,,,"Fort Smith, AR-OK",75,73,2,0,0,0,
04-2004,,,"Fort Walton Beach-Crestview-Destin, FL",233,148,0,6,79,2,
04-2004,,,"Fort Wayne, IN",258,206,2,0,50,2,
04-2004,,,"Fresno, CA",650,612,2,25,11,2,
04-2004,,,"Gadsden, AL",22,22,0,0,0,0,
04-2004,,,"Gainesville, FL",183,139,2,0,42,3,
04-2004,,,"Gainesville, GA",146,146,0,0,0,0,
04-2004,,,"Glens Falls, NY",76,66,0,0,10,2,
04-2004,,,"Goldsboro, NC",45,45,0,0,0,0,
04-2004,,,"Grand Forks, ND-MN",48,12,0,0,36,1,
04-2004,,,"Grand Junction, CO",164,140,0,4,20,1,
04-2004,,,"Grand Rapids-Wyoming, MI",397,386,2,3,6,1,
04-2004,,,"Great Falls, MT",36,30,0,0,6,1,
04-2004,,,"Greeley, CO",500,395,8,3,94,7,
04-2004,,,"Green Bay, WI",246,184,0,6,56,3,
04-2004,,,"Greensboro-High Point, NC",512,412,16,10,74,11,
04-2004,,,"Greenville, NC",274,82,32,0,160,10,
04-2004,,,"Greenville, SC",461,400,8,0,53,4,
04-2004,,,"Gulfport-Biloxi, MS",149,137,0,12,0,0,
04-2004,,,"Hagerstown-Martinsburg, MD-WV",272,259,4,4,5,1,
04-2004,,,"Hanford-Corcoran, CA",76,65,0,11,0,0,
04-2004,,,"Harrisburg-Carlisle, PA",218,214,4,0,0,0,
04-2004,,,"Harrisonburg, VA",81,77,4,0,0,0,
04-2004,,,"Hartford-West Hartford-East Hartford, CT",351,312,10,4,25,4,
04-2004,,,"Hattiesburg, MS",7,7,0,0,0,0,
04-2004,,,"Hickory-Lenoir-Morganton, NC",137,135,2,0,0,0,
04-2004,,,"Hinesville-Fort Stewart, GA",33,33,0,0,0,0,
04-2004,,,"Holland-Grand Haven, MI",253,195,14,20,24,2,
04-2004,,,"Honolulu, HI",295,295,0,0,0,0,
04-2004,,,"Hot Springs, AR",13,13,0,0,0,0,
04-2004,,,"Houma-Bayou Cane-Thibodaux, LA",78,76,2,0,0,0,
04-2004,,,"Houston-Baytown-Sugar Land, TX",4923,4096,24,0,803,61,
04-2004,,,"Huntington-Ashland, WV-KY-OH",14,6,2,6,0,0,
04-2004,,,"Huntsville, AL",192,103,0,0,89,7,
04-2004,,,"Idaho Falls, ID",133,104,2,27,0,0,
04-2004,,,"Indianapolis, IN",1814,1129,64,70,551,49,
04-2004,,,"Iowa City, IA",130,100,0,0,30,3,
04-2004,,,"Ithaca, NY",17,12,0,0,5,1,
04-2004,,,"Jackson, MI",19,19,0,0,0,0,
04-2004,,,"Jackson, MS",351,324,0,0,27,3,
04-2004,,,"Jackson, TN",77,77,0,0,0,0,
04-2004,,,"Jacksonville, FL",1458,1194,4,0,260,12,
04-2004,,,"Jacksonville, NC",110,110,0,0,0,0,
04-2004,,,"Janesville, WI",73,59,2,7,5,1,
04-2004,,,"Jefferson City, MO",28,26,2,0,0,0,
04-2004,,,"Johnson City, TN",87,76,2,4,5,1,
04-2004,,,"Johnstown, PA",9,9,0,0,0,0,
04-2004,,,"Jonesboro, AR",57,57,0,0,0,0,
04-2004,,,"Joplin, MO",22,22,0,0,0,0,
04-2004,,,"Kalamazoo-Portage, MI",113,109,0,4,0,0,
04-2004,,,"Kankakee-Bradley, IL",64,56,4,4,0,0,
04-2004,,,"Kansas City, MO-KS",1342,1227,64,46,5,1,
04-2004,,,"Kennewick-Richland-Pasco, WA",226,199,4,0,23,3,
04-2004,,,"Killeen-Temple-Fort Hood, TX",202,170,16,16,0,0,
04-2004,,,"Kingsport-Bristol-Bristol, TN-VA",75,75,0,0,0,0,
04-2004,,,"Kingston, NY",35,30,0,0,5,1,
04-2004,,,"Knoxville, TN",339,329,10,0,0,0,
04-2004,,,"Kokomo, IN",35,30,0,0,5,1,
04-2004,,,"La Crosse, WI-MN",47,47,0,0,0,0,
04-2004,,,"Lafayette, IN",138,131,0,0,7,1,
04-2004,,,"Lafayette, LA",115,115,0,0,0,0,
04-2004,,,"Lake Charles, LA",119,117,2,0,0,0,
04-2004,,,"Lakeland, FL",383,379,4,0,0,0,
04-2004,,,"Lancaster, PA",219,192,0,0,27,4,
04-2004,,,"Lansing-East Lansing, MI",208,160,0,0,48,4,
04-2004,,,"Laredo, TX",168,158,0,4,6,1,
04-2004,,,"Las Cruces, NM",273,148,0,3,122,16,
04-2004,,,"Las Vegas-Paradise, NV",3669,3112,2,403,152,19,
04-2004,,,"Lawrence, KS",51,33,18,0,0,0,
04-2004,,,"Lawton, OK",13,13,0,0,0,0,
04-2004,,,"Lebanon, PA",69,69,0,0,0,0,
04-2004,,,"Lewiston, ID-WA",4,4,0,0,0,0,
04-2004,,,"Lewiston-Auburn, ME",60,60,0,0,0,0,
04-2004,,,"Lexington-Fayette, KY",311,301,4,6,0,0,
04-2004,,,"Lima, OH",8,8,0,0,0,0,
04-2004,,,"Lincoln, NE",232,203,6,0,23,2,
04-2004,,,"Little Rock-North Little Rock, AR",698,310,4,0,384,23,
04-2004,,,"Logan, UT-ID",102,83,4,10,5,1,
04-2004,,,"Longview, TX",21,21,0,0,0,0,
04-2004,,,"Longview, WA",34,32,2,0,0,0,
04-2004,,,"Los Angeles-Long Beach-Santa Ana, CA",3048,1636,52,63,1297,56,
04-2004,,,"Louisville, KY-IN",597,571,14,0,12,1,
04-2004,,,"Lubbock, TX",176,98,78,0,0,0,
04-2004,,,"Lynchburg, VA",131,131,0,0,0,0,
04-2004,,,"Macon, GA",138,86,12,0,40,5,
04-2004,,,"Madera, CA",143,143,0,0,0,0,
04-2004,,,"Madison, WI",463,334,36,28,65,8,
04-2004,,,"Manchester-Nashua, NH",146,130,10,0,6,1,
04-2004,,,"Mansfield, OH",46,32,6,3,5,1,
04-2004,,,"McAllen-Edinburg-Pharr, TX",790,625,54,41,70,8,
04-2004,,,"Medford, OR",230,190,4,22,14,2,
04-2004,,,"Memphis, TN-MS-AR",915,875,0,0,40,2,
04-2004,,,"Merced, CA",150,150,0,0,0,0,
04-2004,,,"Miami-Fort Lauderdale-Miami Beach, FL",3582,2219,38,30,1295,73,
