date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
09-2008,,,"Abilene, TX",9,9,0,0,0,0,98
09-2008,,,"Akron, OH",63,57,0,0,6,1,68
09-2008,,,"Albany, GA",21,16,2,3,0,0,96
09-2008,,,"Albany-Schenectady-Troy, NY",67,63,0,4,0,0,75
09-2008,,,"Albuquerque, NM",163,127,0,3,33,1,100
09-2008,,,"Alexandria, LA",26,26,0,0,0,0,99
09-2008,,,"Allentown-Bethlehem-Easton, PA-NJ",144,144,0,0,0,0,100
09-2008,,,"Altoona, PA",1,1,0,0,0,0,9
09-2008,,,"Amarillo, TX",289,37,0,0,252,20,97
09-2008,,,"Ames, IA",100,7,0,0,93,3,94
09-2008,,,"Anchorage, AK",71,41,0,4,26,5,100
09-2008,,,"Anderson, IN",6,6,0,0,0,0,64
09-2008,,,"Anderson, SC",46,34,12,0,0,0,89
09-2008,,,"Ann Arbor, MI",32,23,0,4,5,1,71
09-2008,,,"Anniston-Oxford, AL",11,11,0,0,0,0,83
09-2008,,,"Appleton, WI",44,36,8,0,0,0,81
09-2008,,,"Asheville, NC",126,116,0,10,0,0,94
09-2008,,,"Athens-Clarke County, GA",35,13,0,0,22,4,79
09-2008,,,"Atlanta-Sandy Springs-Marietta, GA",1797,1144,4,4,645,18,100
09-2008,,,"Atlantic City-Hammonton, NJ",49,42,2,0,5,1,100
09-2008,,,"Auburn-Opelika, AL",74,68,2,4,0,0,100
09-2008,,,"Augusta-Richmond County, GA-SC",130,130,0,0,0,0,75
09-2008,,,"Austin-Round Rock, TX",830,702,18,4,106,2,100
09-2008,,,"Bakersfield, CA",174,95,6,4,69,5,86
09-2008,,,"Baltimore-Towson, MD",439,304,0,0,135,4,100
09-2008,,,"Bangor, ME",14,14,0,0,0,0,53
09-2008,,,"Barnstable Town, MA",28,28,0,0,0,0,87
09-2008,,,"Baton Rouge, LA",156,156,0,0,0,0,93
09-2008,,,"Battle Creek, MI",11,2,0,0,9,1,68
09-2008,,,"Bay City, MI",1,1,0,0,0,0,17
09-2008,,,"Beaumont-Port Arthur, TX",108,12,0,0,96,1,71
09-2008,,,"Bellingham, WA",35,29,0,0,6,1,77
09-2008,,,"Bend, OR",62,60,2,0,0,0,100
09-2008,,,"Billings, MT",33,33,0,0,0,0,92
09-2008,,,"Binghamton, NY",1,1,0,0,0,0,15
09-2008,,,"Birmingham-Hoover, AL",193,180,0,0,13,1,100
09-2008,,,"Bismarck, ND",143,83,0,0,60,2,98
09-2008,,,"Bloomington, IN",39,27,2,0,10,1,85
09-2008,,,"Bloomington-Normal, IL",110,55,0,0,55,7,86
09-2008,,,"Boise City-Nampa, ID",168,152,4,12,0,0,100
09-2008,,,"Boston-Cambridge-Quincy, MA-NH",604,330,20,25,229,17,100
09-2008,,,"Boulder, CO",20,15,0,0,5,1,72
09-2008,,,"Bowling Green, KY",40,28,0,0,12,1,99
09-2008,,,"Bradenton-Sarasota-Venice, FL",113,102,6,0,5,1,100
09-2008,,,"Bremerton-Silverdale, WA",42,42,0,0,0,0,79
09-2008,,,"Bridgeport-Stamford-Norwalk, CT",132,49,2,0,81,1,89
09-2008,,,"Brownsville-Harlingen, TX",74,52,14,8,0,0,83
09-2008,,,"Brunswick, GA",29,29,0,0,0,0,82
09-2008,,,"Buffalo-Niagara Falls, NY",70,65,0,0,5,1,78
09-2008,,,"Burlington, NC",58,58,0,0,0,0,95
09-2008,,,"Burlington-South Burlington, VT",57,20,2,0,35,1,86
09-2008,,,"Canton-Massillon, OH",23,18,0,0,5,1,82
09-2008,,,"Cape Coral-Fort Myers, FL",87,61,0,20,6,1,100
09-2008,,,"Carson City, NV",0,0,0,0,0,0,100
09-2008,,,"Casper, WY",16,16,0,0,0,0,85
09-2008,,,"Cedar Rapids, IA",75,67,0,8,0,0,91
09-2008,,,"Champaign-Urbana, IL",72,20,0,0,52,3,83
09-2008,,,"Charleston, WV",23,18,0,0,5,1,47
09-2008,,,"Charleston-North Charleston-Summerville, SC",294,220,2,0,72,5,100
09-2008,,,"Charlotte-Gastonia-Concord, NC-SC",558,456,0,4,98,4,100
09-2008,,,"Charlottesville, VA",54,54,0,0,0,0,70
09-2008,,,"Chattanooga, TN-GA",96,84,2,0,10,1,75
09-2008,,,"Cheyenne, WY",23,15,0,8,0,0,98
09-2008,,,"Chicago-Naperville-Joliet, IL-IN-WI",968,671,8,42,247,20,100
09-2008,,,"Chico, CA",46,46,0,0,0,0,82
09-2008,,,"Cincinnati-Middletown, OH-KY-IN",312,244,0,3,65,7,100
09-2008,,,"Clarksville, TN-KY",175,87,0,40,48,6,22
09-2008,,,"Cleveland, TN",25,13,4,8,0,0,74
09-2008,,,"Cleveland-Elyria-Mentor, OH",238,177,0,11,50,6,100
09-2008,,,"Coeur dAlene, ID",51,32,2,0,17,1,99
09-2008,,,"College Station-Bryan, TX",459,45,0,0,414,19,99
09-2008,,,"Colorado Springs, CO",144,123,0,0,21,2,100
09-2008,,,"Columbia, MO",24,20,4,0,0,0,100
09-2008,,,"Columbia, SC",288,256,0,0,32,2,100
09-2008,,,"Columbus, GA-AL",76,56,0,3,17,1,73
09-2008,,,"Columbus, IN",20,20,0,0,0,0,99
09-2008,,,"Columbus, OH",422,210,6,76,130,9,100
09-2008,,,"Corpus Christi, TX",70,70,0,0,0,0,83
09-2008,,,"Corvallis, OR",3,3,0,0,0,0,54
09-2008,,,"Cumberland, MD-WV",9,9,0,0,0,0,5
09-2008,,,"Dallas-Fort Worth-Arlington, TX",1802,1320,36,4,442,19,100
09-2008,,,"Dalton, GA",25,17,0,3,5,1,95
