date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
10-2009,999,10180,"Abilene, TX",21,21,0,0,0,0,96
10-2009,184,10420,"Akron, OH",45,34,2,3,6,1,71
10-2009,999,10500,"Albany, GA",12,12,0,0,0,0,92
10-2009,104,10580,"Albany-Schenectady-Troy, NY",53,51,2,0,0,0,69
10-2009,999,10740,"Albuquerque, NM",137,127,0,0,10,1,100
10-2009,999,10780,"Alexandria, LA",55,55,0,0,0,0,98
10-2009,999,10900,"Allentown-Bethlehem-Easton, PA-NJ",192,145,0,0,47,3,100
10-2009,999,11020,"Altoona, PA",0,0,0,0,0,0,5
10-2009,999,11100,"Amarillo, TX",35,35,0,0,0,0,94
10-2009,112,11180,"Ames, IA",9,9,0,0,0,0,93
10-2009,999,11260,"Anchorage, AK",29,19,10,0,0,0,100
10-2009,294,11300,"Anderson, IN",6,6,0,0,0,0,75
10-2009,273,11340,"Anderson, SC",16,16,0,0,0,0,90
10-2009,220,11460,"Ann Arbor, MI",25,20,0,0,5,1,72
10-2009,999,11500,"Anniston-Oxford, AL",9,9,0,0,0,0,77
10-2009,118,11540,"Appleton, WI",41,37,4,0,0,0,78
10-2009,120,11700,"Asheville, NC",101,101,0,0,0,0,89
10-2009,999,12020,"Athens-Clarke County, GA",22,17,2,3,0,0,67
10-2009,122,12060,"Atlanta-Sandy Springs-Marietta, GA",580,439,0,4,137,4,100
10-2009,999,12100,"Atlantic City-Hammonton, NJ",47,43,0,4,0,0,100
10-2009,194,12220,"Auburn-Opelika, AL",41,41,0,0,0,0,100
10-2009,999,12260,"Augusta-Richmond County, GA-SC",162,162,0,0,0,0,71
10-2009,999,12420,"Austin-Round Rock, TX",476,469,0,0,7,1,100
10-2009,999,12540,"Bakersfield, CA",152,128,4,7,13,2,94
10-2009,548,12580,"Baltimore-Towson, MD",289,251,0,3,35,2,100
10-2009,999,12620,"Bangor, ME",14,14,0,0,0,0,62
