date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
01-2015,999,10180,"Abilene, TX",21,21,0,0,0,0,92
01-2015,184,10420,"Akron, OH",14,14,0,0,0,0,58
01-2015,999,10500,"Albany, GA",13,11,2,0,0,0,93
01-2015,440,10540,"Albany, OR",25,12,0,0,13,1,93
01-2015,104,10580,"Albany-Schenectady-Troy, NY",71,49,0,7,15,3,100
01-2015,106,10740,"Albuquerque, NM",146,135,0,6,5,1,100
01-2015,999,10780,"Alexandria, LA",16,16,0,0,0,0,78
01-2015,408,10900,"Allentown-Bethlehem-Easton, PA-NJ",34,25,0,0,9,1,45
01-2015,999,11020,"Altoona, PA",0,0,0,0,0,0,0
01-2015,108,11100,"Amarillo, TX",332,32,0,0,300,29,87
01-2015,218,11180,"Ames, IA",6,6,0,0,0,0,78
01-2015,999,11260,"Anchorage, AK",42,35,4,3,0,0,100
01-2015,220,11460,"Ann Arbor, MI",19,19,0,0,0,0,84
01-2015,999,11500,"Anniston-Oxford-Jacksonville, AL",6,6,0,0,0,0,68
01-2015,118,11540,"Appleton, WI",28,12,0,16,0,0,69
01-2015,120,11700,"Asheville, NC",95,90,0,0,5,1,88
01-2015,122,12020,"Athens-Clarke County, GA",42,42,0,0,0,0,92
01-2015,122,12060,"Atlanta-Sandy Springs-Roswell, GA",1578,1269,4,8,297,11,100
01-2015,428,12100,"Atlantic City-Hammonton, NJ",32,26,0,0,6,1,100
01-2015,194,12220,"Auburn-Opelika, AL",65,60,0,0,5,1,100
01-2015,999,12260,"Augusta-Richmond County, GA-SC",203,198,0,0,5,1,99
01-2015,999,12420,"Austin-Round Rock, TX",1143,847,38,0,258,8,100
01-2015,999,12540,"Bakersfield, CA",128,98,2,0,28,1,87
01-2015,548,12580,"Baltimore-Columbia-Towson, MD",381,282,0,3,96,2,100
01-2015,999,12620,"Bangor, ME",4,4,0,0,0,0,56
01-2015,148,12700,"Barnstable Town, MA",7,7,0,0,0,0,15
01-2015,999,12940,"Baton Rouge, LA",272,272,0,0,0,0,100
01-2015,310,12980,"Battle Creek, MI",0,0,0,0,0,0,4
01-2015,474,13020,"Bay City, MI",0,0,0,0,0,0,49
01-2015,999,13140,"Beaumont-Port Arthur, TX",57,57,0,0,0,0,56
01-2015,999,13220,"Beckley, WV",5,5,0,0,0,0,100
01-2015,999,13380,"Bellingham, WA",50,44,2,4,0,0,98
01-2015,140,13460,"Bend-Redmond, OR",106,100,6,0,0,0,99
01-2015,999,13740,"Billings, MT",32,32,0,0,0,0,49
01-2015,999,13780,"Binghamton, NY",0,0,0,0,0,0,5
01-2015,142,13820,"Birmingham-Hoover, AL",228,187,0,0,41,2,100
01-2015,999,13900,"Bismarck, ND",63,41,2,3,17,1,100
01-2015,999,13980,"Blacksburg-Christiansburg-Radford, VA",6,4,2,0,0,0,31
01-2015,145,14010,"Bloomington, IL",18,11,0,0,7,1,89
01-2015,144,14020,"Bloomington, IN",22,8,2,0,12,2,100
01-2015,146,14100,"Bloomsburg-Berwick, PA",4,4,0,0,0,0,100
01-2015,147,14260,"Boise City, ID",297,277,0,20,0,0,100
01-2015,148,14460,"Boston-Cambridge-Newton, MA-NH",1465,233,26,6,1200,31,100
01-2015,216,14500,"Boulder, CO",41,30,4,7,0,0,99
01-2015,150,14540,"Bowling Green, KY",37,37,0,0,0,0,98
01-2015,500,14740,"Bremerton-Silverdale, WA",40,40,0,0,0,0,100
01-2015,408,14860,"Bridgeport-Stamford-Norwalk, CT",157,49,0,3,105,2,100
01-2015,154,15180,"Brownsville-Harlingen, TX",41,39,2,0,0,0,76
01-2015,999,15260,"Brunswick, GA",36,36,0,0,0,0,98
01-2015,160,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",119,54,0,12,53,5,100
01-2015,268,15500,"Burlington, NC",34,34,0,0,0,0,73
01-2015,999,15540,"Burlington-South Burlington, VT",61,8,2,0,51,1,85
01-2015,548,15680,"California-Lexington Park, MD",27,22,0,0,5,1,100
01-2015,184,15940,"Canton-Massillon, OH",13,11,2,0,0,0,92
01-2015,162,15980,"Cape Coral-Fort Myers, FL",674,254,0,20,400,27,100
01-2015,164,16020,"Cape Girardeau, MO-IL",0,0,0,0,0,0,0
01-2015,456,16180,"Carson City, NV",3,3,0,0,0,0,100
01-2015,999,16220,"Casper, WY",23,23,0,0,0,0,100
01-2015,168,16300,"Cedar Rapids, IA",13,11,2,0,0,0,79
01-2015,548,16540,"Chambersburg-Waynesboro, PA",14,14,0,0,0,0,100
01-2015,999,16580,"Champaign-Urbana, IL",12,2,0,0,10,1,55
01-2015,170,16620,"Charleston, WV",21,7,0,0,14,1,96
01-2015,999,16700,"Charleston-North Charleston, SC",356,334,0,0,22,1,100
01-2015,172,16740,"Charlotte-Concord-Gastonia, NC-SC",1079,874,4,4,197,9,97
01-2015,999,16820,"Charlottesville, VA",50,32,0,0,18,1,70
01-2015,174,16860,"Chattanooga, TN-GA",118,118,0,0,0,0,63
01-2015,999,16940,"Cheyenne, WY",10,10,0,0,0,0,100
01-2015,176,16980,"Chicago-Naperville-Elgin, IL-IN-WI",416,321,0,7,88,8,100
01-2015,999,17020,"Chico, CA",12,12,0,0,0,0,86
01-2015,178,17140,"Cincinnati, OH-KY-IN",177,174,0,3,0,0,100
01-2015,999,17300,"Clarksville, TN-KY",95,75,0,4,16,2,100
01-2015,174,17420,"Cleveland, TN",20,20,0,0,0,0,61
01-2015,184,17460,"Cleveland-Elyria, OH",180,125,4,20,31,5,99
01-2015,518,17660,"Coeur dAlene, ID",61,59,2,0,0,0,93
01-2015,999,17780,"College Station-Bryan, TX",132,105,8,0,19,2,100
01-2015,999,17820,"Colorado Springs, CO",124,124,0,0,0,0,100
01-2015,190,17860,"Columbia, MO",55,45,10,0,0,0,100
01-2015,192,17900,"Columbia, SC",284,251,0,0,33,2,100
01-2015,194,17980,"Columbus, GA-AL",70,52,0,4,14,1,99
01-2015,294,18020,"Columbus, IN",9,9,0,0,0,0,100
01-2015,198,18140,"Columbus, OH",531,184,0,8,339,22,99
01-2015,204,18580,"Corpus Christi, TX",92,92,0,0,0,0,88
01-2015,440,18700,"Corvallis, OR",9,5,4,0,0,0,78
01-2015,999,18880,"Crestview-Fort Walton Beach-Destin, FL",163,142,0,21,0,0,100
01-2015,999,19060,"Cumberland, MD-WV",1,1,0,0,0,0,48
01-2015,206,19100,"Dallas-Fort Worth-Arlington, TX",3097,2216,18,11,852,12,99
01-2015,999,19180,"Danville, IL",0,0,0,0,0,0,5
01-2015,380,19300,"Daphne-Fairhope-Foley, AL",105,105,0,0,0,0,95
01-2015,209,19340,"Davenport-Moline-Rock Island, IA-IL",18,10,0,0,8,1,60
01-2015,212,19380,"Dayton, OH",38,38,0,0,0,0,84
01-2015,290,19460,"Decatur, AL",10,10,0,0,0,0,94
01-2015,999,19500,"Decatur, IL",0,0,0,0,0,0,49
01-2015,422,19660,"Deltona-Daytona Beach-Ormond Beach, FL",90,90,0,0,0,0,77
01-2015,216,19740,"Denver-Aurora-Lakewood, CO",858,566,26,15,251,10,100
01-2015,218,19780,"Des Moines-West Des Moines, IA",127,124,0,3,0,0,100
01-2015,220,19820,"Detroit-Warren-Dearborn, MI",275,189,2,0,84,10,100
01-2015,222,20020,"Dothan, AL",24,24,0,0,0,0,85
01-2015,428,20100,"Dover, DE",68,68,0,0,0,0,100
01-2015,999,20220,"Dubuque, IA",2,2,0,0,0,0,42
01-2015,999,20260,"Duluth, MN-WI",2,2,0,0,0,0,24
01-2015,450,20500,"Durham-Chapel Hill, NC",171,165,0,0,6,1,100
01-2015,408,20700,"East Stroudsburg, PA",2,2,0,0,0,0,33
01-2015,232,20740,"Eau Claire, WI",15,15,0,0,0,0,95
01-2015,999,20940,"El Centro, CA",1,1,0,0,0,0,81
01-2015,238,21340,"El Paso, TX",179,177,2,0,0,0,100
01-2015,350,21060,"Elizabethtown-Fort Knox, KY",28,23,0,0,5,1,100
01-2015,515,21140,"Elkhart-Goshen, IN",12,12,0,0,0,0,79
01-2015,236,21300,"Elmira, NY",0,0,0,0,0,0,37
01-2015,240,21500,"Erie, PA",0,0,0,0,0,0,44
01-2015,999,21660,"Eugene, OR",40,40,0,0,0,0,91
01-2015,999,21780,"Evansville, IN-KY",33,31,2,0,0,0,98
01-2015,999,21820,"Fairbanks, AK",0,0,0,0,0,0,100
01-2015,244,22020,"Fargo, ND-MN",11,9,2,0,0,0,100
01-2015,999,22140,"Farmington, NM",6,6,0,0,0,0,100
01-2015,246,22180,"Fayetteville, NC",89,73,0,0,16,1,100
01-2015,999,22220,"Fayetteville-Springdale-Rogers, AR-MO",159,159,0,0,0,0,100
01-2015,999,22380,"Flagstaff, AZ",12,12,0,0,0,0,94
01-2015,220,22420,"Flint, MI",3,3,0,0,0,0,30
01-2015,999,22500,"Florence, SC",20,20,0,0,0,0,80
01-2015,999,22520,"Florence-Muscle Shoals, AL",17,10,2,0,5,1,93
01-2015,999,22540,"Fond du Lac, WI",4,2,2,0,0,0,67
01-2015,999,22660,"Fort Collins, CO",149,133,16,0,0,0,100
01-2015,999,22900,"Fort Smith, AR-OK",26,20,6,0,0,0,90
01-2015,258,23060,"Fort Wayne, IN",45,45,0,0,0,0,95
01-2015,260,23420,"Fresno, CA",228,163,0,0,65,7,100
01-2015,999,23460,"Gadsden, AL",2,2,0,0,0,0,43
01-2015,264,23540,"Gainesville, FL",53,33,2,0,18,1,78
01-2015,122,23580,"Gainesville, GA",42,42,0,0,0,0,85
01-2015,276,23900,"Gettysburg, PA",10,10,0,0,0,0,100
01-2015,104,24020,"Glens Falls, NY",10,10,0,0,0,0,90
01-2015,999,24220,"Grand Forks, ND-MN",0,0,0,0,0,0,89
01-2015,999,24260,"Grand Island, NE",0,0,0,0,0,0,69
01-2015,999,24300,"Grand Junction, CO",14,14,0,0,0,0,100
01-2015,266,24340,"Grand Rapids-Wyoming, MI",79,72,2,0,5,1,70
01-2015,999,24500,"Great Falls, MT",17,5,12,0,0,0,100
01-2015,216,24540,"Greeley, CO",153,153,0,0,0,0,91
01-2015,267,24580,"Green Bay, WI",74,23,0,3,48,4,94
01-2015,268,24660,"Greensboro-High Point, NC",186,126,0,0,60,4,100
01-2015,274,24780,"Greenville, NC",24,14,10,0,0,0,78
01-2015,273,24860,"Greenville-Anderson-Mauldin, SC",269,251,2,0,16,1,99
01-2015,999,25060,"Gulfport-Biloxi-Pascagoula, MS",130,116,2,3,9,1,98
01-2015,548,25180,"Hagerstown-Martinsburg, MD-WV",53,51,2,0,0,0,84
01-2015,406,25220,"Hammond, LA",33,33,0,0,0,0,94
01-2015,276,25420,"Harrisburg-Carlisle, PA",81,63,0,0,18,2,100
01-2015,277,25500,"Harrisonburg, VA",33,31,2,0,0,0,100
01-2015,278,25540,"Hartford-West Hartford-East Hartford, CT",70,43,6,0,21,2,100
01-2015,999,25620,"Hattiesburg, MS",11,4,0,7,0,0,71
01-2015,280,25860,"Hickory-Lenoir-Morganton, NC",1,1,0,0,0,0,2
01-2015,999,25940,"Hilton Head Island-Bluffton-Beaufort, SC",84,44,0,0,40,3,40
01-2015,496,25980,"Hinesville, GA",22,22,0,0,0,0,47
01-2015,999,26140,"Homosassa Springs, FL",16,16,0,0,0,0,100
01-2015,284,26300,"Hot Springs, AR",2,2,0,0,0,0,100
01-2015,999,26380,"Houma-Thibodaux, LA",42,42,0,0,0,0,94
01-2015,288,26420,"Houston-The Woodlands-Sugar Land, TX",4424,3046,4,0,1374,34,100
01-2015,170,26580,"Huntington-Ashland, WV-KY-OH",7,1,0,6,0,0,85
01-2015,290,26620,"Huntsville, AL",240,152,0,16,72,3,100
01-2015,292,26820,"Idaho Falls, ID",21,21,0,0,0,0,97
01-2015,294,26900,"Indianapolis-Carmel-Anderson, IN",363,278,4,12,69,9,99
01-2015,168,26980,"Iowa City, IA",10,10,0,0,0,0,85
01-2015,296,27060,"Ithaca, NY",4,2,2,0,0,0,28
01-2015,999,27100,"Jackson, MI",1,1,0,0,0,0,2
01-2015,298,27140,"Jackson, MS",84,84,0,0,0,0,84
01-2015,999,27180,"Jackson, TN",22,22,0,0,0,0,74
01-2015,300,27260,"Jacksonville, FL",908,481,0,4,423,14,100
01-2015,999,27340,"Jacksonville, NC",48,48,0,0,0,0,100
01-2015,357,27500,"Janesville-Beloit, WI",5,5,0,0,0,0,64
01-2015,304,27740,"Johnson City, TN",62,10,0,0,52,6,62
01-2015,306,27780,"Johnstown, PA",0,0,0,0,0,0,7
01-2015,308,27860,"Jonesboro, AR",44,36,4,4,0,0,89
01-2015,309,27900,"Joplin, MO",17,15,2,0,0,0,55
01-2015,999,27980,"Kahului-Wailuku-Lahaina, HI",178,30,2,28,118,17,100
01-2015,310,28020,"Kalamazoo-Portage, MI",9,9,0,0,0,0,41
01-2015,176,28100,"Kankakee, IL",1,1,0,0,0,0,19
01-2015,312,28140,"Kansas City, MO-KS",497,217,20,0,260,10,100
01-2015,999,28420,"Kennewick-Richland, WA",101,84,10,0,7,1,100
01-2015,999,28660,"Killeen-Temple, TX",184,135,44,0,5,1,100
01-2015,304,28700,"Kingsport-Bristol-Bristol, TN-VA",2,2,0,0,0,0,4
01-2015,408,28740,"Kingston, NY",5,5,0,0,0,0,32
01-2015,314,28940,"Knoxville, TN",146,146,0,0,0,0,91
01-2015,316,29020,"Kokomo, IN",2,2,0,0,0,0,89
01-2015,999,29100,"La Crosse-Onalaska, WI-MN",3,1,2,0,0,0,93
01-2015,318,29180,"Lafayette, LA",131,131,0,0,0,0,91
01-2015,320,29200,"Lafayette-West Lafayette, IN",12,12,0,0,0,0,100
01-2015,999,29340,"Lake Charles, LA",73,45,8,0,20,2,88
01-2015,332,29420,"Lake Havasu City-Kingman, AZ",48,48,0,0,0,0,100
01-2015,999,29460,"Lakeland-Winter Haven, FL",193,161,0,0,32,1,87
01-2015,999,29540,"Lancaster, PA",5,5,0,0,0,0,10
01-2015,330,29620,"Lansing-East Lansing, MI",8,8,0,0,0,0,52
01-2015,999,29700,"Laredo, TX",123,75,0,0,48,1,100
01-2015,238,29740,"Las Cruces, NM",56,56,0,0,0,0,100
01-2015,332,29820,"Las Vegas-Henderson-Paradise, NV",424,424,0,0,0,0,100
01-2015,312,29940,"Lawrence, KS",7,7,0,0,0,0,93
01-2015,999,30020,"Lawton, OK",11,11,0,0,0,0,81
01-2015,276,30140,"Lebanon, PA",7,7,0,0,0,0,40
01-2015,999,30300,"Lewiston, ID-WA",0,0,0,0,0,0,1
01-2015,438,30340,"Lewiston-Auburn, ME",4,4,0,0,0,0,59
01-2015,336,30460,"Lexington-Fayette, KY",180,121,6,3,50,7,100
01-2015,338,30620,"Lima, OH",0,0,0,0,0,0,2
01-2015,339,30700,"Lincoln, NE",65,43,0,0,22,1,93
01-2015,340,30780,"Little Rock-North Little Rock-Conway, AR",391,108,0,6,277,14,100
01-2015,999,30860,"Logan, UT-ID",19,19,0,0,0,0,35
01-2015,346,30980,"Longview, TX",2,2,0,0,0,0,66
01-2015,440,31020,"Longview, WA",13,13,0,0,0,0,43
01-2015,348,31080,"Los Angeles-Long Beach-Anaheim, CA",2803,505,60,34,2204,58,100
01-2015,350,31140,"Louisville-Jefferson County, KY-IN",290,180,14,3,93,5,99
01-2015,352,31180,"Lubbock, TX",159,82,6,0,71,5,100
01-2015,999,31340,"Lynchburg, VA",31,31,0,0,0,0,61
01-2015,356,31420,"Macon, GA",6,6,0,0,0,0,92
01-2015,260,31460,"Madera, CA",18,18,0,0,0,0,100
01-2015,357,31540,"Madison, WI",122,64,4,3,51,3,100
01-2015,148,31700,"Manchester-Nashua, NH",17,17,0,0,0,0,59
01-2015,358,31740,"Manhattan, KS",18,16,2,0,0,0,90
01-2015,359,31860,"Mankato-North Mankato, MN",12,7,0,0,5,1,49
01-2015,365,32580,"McAllen-Edinburg-Mission, TX",387,190,30,11,156,3,100
01-2015,366,32780,"Medford, OR",25,25,0,0,0,0,81
01-2015,368,32820,"Memphis, TN-MS-AR",249,172,0,0,77,2,100
01-2015,382,32900,"Merced, CA",8,3,0,0,5,1,77
01-2015,370,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2294,469,12,36,1777,47,100
01-2015,176,33140,"Michigan City-La Porte, IN",1,1,0,0,0,0,84
