date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
03-2007,,,"Abilene, TX",31,29,2,0,0,0,
03-2007,,,"Akron, OH",129,114,2,0,13,1,
03-2007,,,"Albany, GA",54,48,2,4,0,0,
03-2007,,,"Albany-Schenectady-Troy, NY",423,85,2,0,336,28,
03-2007,,,"Albuquerque, NM",415,391,0,4,20,1,
03-2007,,,"Alexandria, LA",45,45,0,0,0,0,
03-2007,,,"Allentown-Bethlehem-Easton, PA-NJ",282,263,4,3,12,2,
03-2007,,,"Altoona, PA",2,2,0,0,0,0,
03-2007,,,"Amarillo, TX",66,66,0,0,0,0,
03-2007,,,"Ames, IA",38,21,0,0,17,1,
03-2007,,,"Anchorage, AK",62,27,30,0,5,1,
03-2007,,,"Anderson, IN",18,10,8,0,0,0,
03-2007,,,"Anderson, SC",172,172,0,0,0,0,
03-2007,,,"Ann Arbor, MI",39,32,2,0,5,1,
03-2007,,,"Anniston-Oxford, AL",11,11,0,0,0,0,
03-2007,,,"Appleton, WI",34,30,4,0,0,0,
03-2007,,,"Asheville, NC",389,353,4,0,32,2,
03-2007,,,"Athens-Clarke County, GA",97,76,4,6,11,2,
03-2007,,,"Atlanta-Sandy Springs-Marietta, GA",5021,3877,52,62,1030,31,
03-2007,,,"Atlantic City, NJ",96,52,0,4,40,1,
03-2007,,,"Auburn-Opelika, AL",139,139,0,0,0,0,
03-2007,,,"Augusta-Richmond County, GA-SC",233,233,0,0,0,0,
03-2007,,,"Austin-Round Rock, TX",1448,1384,14,8,42,3,
03-2007,,,"Bakersfield, CA",559,429,90,18,22,1,
03-2007,,,"Baltimore-Towson, MD",657,309,22,0,326,10,
03-2007,,,"Bangor, ME",14,14,0,0,0,0,
03-2007,,,"Barnstable Town, MA",68,56,0,3,9,1,
03-2007,,,"Baton Rouge, LA",414,412,2,0,0,0,
03-2007,,,"Battle Creek, MI",11,6,0,0,5,1,
03-2007,,,"Bay City, MI",4,4,0,0,0,0,
03-2007,,,"Beaumont-Port Arthur, TX",58,54,0,4,0,0,
03-2007,,,"Bellingham, WA",101,67,4,0,30,1,
03-2007,,,"Bend, OR",226,175,2,7,42,5,
03-2007,,,"Billings, MT",48,48,0,0,0,0,
03-2007,,,"Binghamton, NY",4,4,0,0,0,0,
03-2007,,,"Birmingham-Hoover, AL",534,534,0,0,0,0,
03-2007,,,"Bismarck, ND",75,59,0,16,0,0,
03-2007,,,"Bloomington, IN",101,81,0,0,20,1,
03-2007,,,"Bloomington-Normal, IL",48,40,0,0,8,1,
03-2007,,,"Boise City-Nampa, ID",720,605,12,70,33,4,
03-2007,,,"Boston-Cambridge-Quincy, MA-NH",804,381,66,34,323,20,
03-2007,,,"Boulder, CO",33,22,0,0,11,1,
03-2007,,,"Bowling Green, KY",71,71,0,0,0,0,
03-2007,,,"Bremerton-Silverdale, WA",134,113,18,3,0,0,
03-2007,,,"Bridgeport-Stamford-Norwalk, CT",90,67,4,0,19,3,
03-2007,,,"Brownsville-Harlingen, TX",185,165,4,11,5,1,
03-2007,,,"Brunswick, GA",70,64,0,0,6,1,
03-2007,,,"Buffalo-Niagara Falls, NY",134,84,0,0,50,1,
03-2007,,,"Burlington, NC",168,168,0,0,0,0,
03-2007,,,"Burlington-South Burlington, VT",88,41,2,3,42,7,
03-2007,,,"Canton-Massillon, OH",59,54,0,0,5,1,
03-2007,,,"Cape Coral-Fort Myers, FL",1172,702,2,4,464,24,
03-2007,,,"Carson City, NV",7,7,0,0,0,0,
03-2007,,,"Casper, WY",40,40,0,0,0,0,
03-2007,,,"Cedar Rapids, IA",99,78,6,15,0,0,
03-2007,,,"Champaign-Urbana, IL",262,46,0,4,212,5,
03-2007,,,"Charleston, WV",36,25,0,0,11,2,
03-2007,,,"Charleston-North Charleston, SC",567,487,0,3,77,5,
03-2007,,,"Charlotte-Gastonia-Concord, NC-SC",1625,1556,0,7,62,5,
03-2007,,,"Charlottesville, VA",122,122,0,0,0,0,
03-2007,,,"Chattanooga, TN-GA",238,226,6,0,6,1,
03-2007,,,"Cheyenne, WY",55,40,0,3,12,1,
03-2007,,,"Chicago-Naperville-Joliet, IL-IN-WI",3323,1902,66,91,1264,45,
03-2007,,,"Chico, CA",74,53,0,21,0,0,
03-2007,,,"Cincinnati-Middletown, OH-KY-IN",795,612,6,21,156,18,
03-2007,,,"Clarksville, TN-KY",216,158,16,20,22,4,
03-2007,,,"Cleveland, TN",41,36,2,3,0,0,
03-2007,,,"Cleveland-Elyria-Mentor, OH",324,310,6,3,5,1,
03-2007,,,"Coeur dAlene, ID",306,114,0,8,184,22,
03-2007,,,"College Station-Bryan, TX",286,78,34,15,159,7,
03-2007,,,"Colorado Springs, CO",392,354,8,8,22,1,
03-2007,,,"Columbia, MO",135,103,32,0,0,0,
03-2007,,,"Columbia, SC",582,532,0,0,50,2,
03-2007,,,"Columbus, GA-AL",136,107,0,4,25,3,
03-2007,,,"Columbus, IN",22,22,0,0,0,0,
03-2007,,,"Columbus, OH",436,374,6,14,42,6,
03-2007,,,"Corpus Christi, TX",144,117,4,0,23,2,
03-2007,,,"Corvallis, OR",9,9,0,0,0,0,
03-2007,,,"Cumberland, MD-WV",16,16,0,0,0,0,
03-2007,,,"Dallas-Fort Worth-Arlington, TX",3879,2776,36,70,997,47,
03-2007,,,"Dalton, GA",67,53,2,3,9,1,
03-2007,,,"Danville, IL",0,0,0,0,0,0,
03-2007,,,"Danville, VA",16,16,0,0,0,0,
03-2007,,,"Davenport-Moline-Rock Island, IA-IL",80,48,0,0,32,4,
03-2007,,,"Dayton, OH",126,126,0,0,0,0,
03-2007,,,"Decatur, AL",20,20,0,0,0,0,
03-2007,,,"Decatur, IL",0,0,0,0,0,0,
03-2007,,,"Deltona-Daytona Beach-Ormond Beach, FL",311,246,12,4,49,6,
03-2007,,,"Denver-Aurora, CO",1041,708,4,0,329,11,
03-2007,,,"Des Moines-West Des Moines, IA",490,255,0,8,227,9,
03-2007,,,"Detroit-Warren-Livonia, MI",460,416,4,0,40,5,
03-2007,,,"Dothan, AL",41,41,0,0,0,0,
03-2007,,,"Dover, DE",109,109,0,0,0,0,
03-2007,,,"Dubuque, IA",39,37,2,0,0,0,
03-2007,,,"Duluth, MN-WI",55,42,0,3,10,2,
03-2007,,,"Durham, NC",257,253,4,0,0,0,
03-2007,,,"Eau Claire, WI",34,34,0,0,0,0,
03-2007,,,"El Centro, CA",127,121,0,0,6,1,
03-2007,,,"El Paso, TX",259,254,0,0,5,1,
03-2007,,,"Elizabethtown, KY",48,46,2,0,0,0,
03-2007,,,"Elkhart-Goshen, IN",69,69,0,0,0,0,
03-2007,,,"Elmira, NY",2,2,0,0,0,0,
03-2007,,,"Erie, PA",89,87,2,0,0,0,
03-2007,,,"Eugene-Springfield, OR",104,104,0,0,0,0,
03-2007,,,"Evansville, IN-KY",111,75,2,0,34,1,
03-2007,,,"Fairbanks, AK",4,4,0,0,0,0,
03-2007,,,"Fargo, ND-MN",42,42,0,0,0,0,
03-2007,,,"Farmington, NM",36,36,0,0,0,0,
03-2007,,,"Fayetteville, NC",275,247,0,4,24,1,
03-2007,,,"Fayetteville-Springdale-Rogers, AR-MO",430,265,34,15,116,4,
03-2007,,,"Flagstaff, AZ",34,34,0,0,0,0,
03-2007,,,"Flint, MI",37,37,0,0,0,0,
03-2007,,,"Florence, SC",57,57,0,0,0,0,
03-2007,,,"Florence-Muscle Shoals, AL",33,33,0,0,0,0,
03-2007,,,"Fond du Lac, WI",12,12,0,0,0,0,
03-2007,,,"Fort Collins-Loveland, CO",104,104,0,0,0,0,
03-2007,,,"Fort Smith, AR-OK",121,99,22,0,0,0,
03-2007,,,"Fort Walton Beach-Crestview-Destin, FL",131,72,0,0,59,2,
03-2007,,,"Fort Wayne, IN",117,115,2,0,0,0,
03-2007,,,"Fresno, CA",411,404,0,7,0,0,
03-2007,,,"Gadsden, AL",13,13,0,0,0,0,
03-2007,,,"Gainesville, FL",89,57,0,0,32,2,
03-2007,,,"Gainesville, GA",180,172,0,8,0,0,
03-2007,,,"Glens Falls, NY",16,16,0,0,0,0,
03-2007,,,"Goldsboro, NC",33,33,0,0,0,0,
03-2007,,,"Grand Forks, ND-MN",0,0,0,0,0,0,
03-2007,,,"Grand Junction, CO",160,142,18,0,0,0,
03-2007,,,"Grand Rapids-Wyoming, MI",177,158,0,3,16,2,
03-2007,,,"Great Falls, MT",19,19,0,0,0,0,
03-2007,,,"Greeley, CO",182,177,0,0,5,1,
03-2007,,,"Green Bay, WI",112,99,0,0,13,2,
03-2007,,,"Greensboro-High Point, NC",709,375,0,6,328,17,
03-2007,,,"Greenville, NC",162,126,28,0,8,1,
03-2007,,,"Greenville, SC",666,435,2,0,229,9,
03-2007,,,"Gulfport-Biloxi, MS",819,289,28,0,502,24,
03-2007,,,"Hagerstown-Martinsburg, MD-WV",105,92,2,11,0,0,
03-2007,,,"Hanford-Corcoran, CA",39,39,0,0,0,0,
03-2007,,,"Harrisburg-Carlisle, PA",112,97,0,7,8,1,
03-2007,,,"Harrisonburg, VA",64,64,0,0,0,0,
03-2007,,,"Hartford-West Hartford-East Hartford, CT",225,134,4,0,87,4,
03-2007,,,"Hattiesburg, MS",14,10,0,4,0,0,
03-2007,,,"Hickory-Lenoir-Morganton, NC",169,163,6,0,0,0,
03-2007,,,"Hinesville-Fort Stewart, GA",6,6,0,0,0,0,
03-2007,,,"Holland-Grand Haven, MI",63,63,0,0,0,0,
03-2007,,,"Honolulu, HI",139,115,0,0,24,3,
03-2007,,,"Hot Springs, AR",10,10,0,0,0,0,
03-2007,,,"Houma-Bayou Cane-Thibodaux, LA",134,110,0,24,0,0,
03-2007,,,"Houston-Sugar Land-Baytown, TX",6844,4994,70,99,1681,77,
03-2007,,,"Huntington-Ashland, WV-KY-OH",4,4,0,0,0,0,
03-2007,,,"Huntsville, AL",392,392,0,0,0,0,
03-2007,,,"Idaho Falls, ID",121,121,0,0,0,0,
03-2007,,,"Indianapolis-Carmel, IN",759,685,16,45,13,2,
03-2007,,,"Iowa City, IA",64,56,0,0,8,1,
