date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
02-2005,,,"Abilene, TX",21,21,0,0,0,0,
02-2005,,,"Akron, OH",134,116,4,0,14,1,
02-2005,,,"Albany, GA",72,48,2,0,22,3,
02-2005,,,"Albany-Schenectady-Troy, NY",76,66,0,0,10,1,
02-2005,,,"Albuquerque, NM",543,527,0,3,13,1,
02-2005,,,"Alexandria, LA",34,34,0,0,0,0,
02-2005,,,"Allentown-Bethlehem-Easton, PA-NJ",271,256,0,0,15,2,
02-2005,,,"Altoona, PA",1,1,0,0,0,0,
02-2005,,,"Amarillo, TX",63,63,0,0,0,0,
02-2005,,,"Ames, IA",167,19,0,0,148,6,
02-2005,,,"Anchorage, AK",65,33,28,4,0,0,
02-2005,,,"Anderson, IN",17,17,0,0,0,0,
02-2005,,,"Anderson, SC",114,110,4,0,0,0,
02-2005,,,"Ann Arbor, MI",86,74,0,0,12,1,
02-2005,,,"Anniston-Oxford, AL",7,7,0,0,0,0,
02-2005,,,"Appleton, WI",73,67,6,0,0,0,
02-2005,,,"Asheville, NC",284,239,8,3,34,4,
02-2005,,,"Athens-Clarke County, GA",147,101,0,0,46,1,
02-2005,,,"Atlanta-Sandy Springs-Marietta, GA",5382,4138,10,21,1213,31,
02-2005,,,"Atlantic City, NJ",129,129,0,0,0,0,
02-2005,,,"Auburn-Opelika, AL",175,106,0,0,69,6,
02-2005,,,"Augusta-Richmond County, GA-SC",254,254,0,0,0,0,
02-2005,,,"Austin-Round Rock, TX",1329,1240,56,4,29,1,
02-2005,,,"Bakersfield, CA",653,454,16,3,180,26,
02-2005,,,"Baltimore-Towson, MD",814,561,12,15,226,8,
02-2005,,,"Bangor, ME",51,51,0,0,0,0,
02-2005,,,"Barnstable Town, MA",69,65,0,4,0,0,
02-2005,,,"Baton Rouge, LA",343,341,2,0,0,0,
02-2005,,,"Battle Creek, MI",95,19,0,0,76,4,
02-2005,,,"Bay City, MI",7,7,0,0,0,0,
02-2005,,,"Beaumont-Port Arthur, TX",21,21,0,0,0,0,
02-2005,,,"Bellingham, WA",106,98,0,8,0,0,
02-2005,,,"Bend, OR",335,281,26,28,0,0,
02-2005,,,"Billings, MT",33,33,0,0,0,0,
02-2005,,,"Binghamton, NY",0,0,0,0,0,0,
02-2005,,,"Birmingham-Hoover, AL",532,532,0,0,0,0,
02-2005,,,"Bismarck, ND",23,23,0,0,0,0,
02-2005,,,"Bloomington, IN",60,37,10,0,13,2,
02-2005,,,"Bloomington-Normal, IL",74,42,0,0,32,2,
02-2005,,,"Boise City-Nampa, ID",782,714,12,56,0,0,
02-2005,,,"Boston-Cambridge-Quincy, MA-NH",818,421,38,16,343,17,
02-2005,,,"Boulder, CO",77,72,0,0,5,1,
02-2005,,,"Bowling Green, KY",61,61,0,0,0,0,
02-2005,,,"Bremerton-Silverdale, WA",88,86,2,0,0,0,
02-2005,,,"Bridgeport-Stamford-Norwalk, CT",99,89,4,0,6,1,
02-2005,,,"Brownsville-Harlingen, TX",278,252,12,4,10,1,
02-2005,,,"Brunswick, GA",63,63,0,0,0,0,
02-2005,,,"Buffalo-Niagara Falls, NY",110,58,2,0,50,1,
02-2005,,,"Burlington, NC",75,75,0,0,0,0,
02-2005,,,"Burlington-South Burlington, VT",25,19,6,0,0,0,
02-2005,,,"Canton-Massillon, OH",71,68,0,3,0,0,
02-2005,,,"Cape Coral-Fort Myers, FL",2487,1739,16,44,688,63,
02-2005,,,"Carson City, NV",10,10,0,0,0,0,
02-2005,,,"Casper, WY",13,13,0,0,0,0,
02-2005,,,"Cedar Rapids, IA",83,39,2,18,24,4,
02-2005,,,"Champaign-Urbana, IL",79,49,0,0,30,1,
02-2005,,,"Charleston, WV",20,20,0,0,0,0,
02-2005,,,"Charleston-North Charleston, SC",665,521,10,21,113,8,
02-2005,,,"Charlotte-Gastonia-Concord, NC-SC",1448,1409,6,4,29,5,
02-2005,,,"Charlottesville, VA",122,87,2,3,30,2,
02-2005,,,"Chattanooga, TN-GA",243,232,4,0,7,1,
02-2005,,,"Cheyenne, WY",48,35,0,8,5,1,
02-2005,,,"Chicago-Naperville-Joliet, IL-IN-WI",2990,2036,34,200,720,32,
02-2005,,,"Chico, CA",76,76,0,0,0,0,
02-2005,,,"Cincinnati-Middletown, OH-KY-IN",854,734,8,13,99,12,
02-2005,,,"Clarksville, TN-KY",138,132,0,6,0,0,
02-2005,,,"Cleveland, TN",42,42,0,0,0,0,
02-2005,,,"Cleveland-Elyria-Mentor, OH",391,366,4,16,5,1,
02-2005,,,"Coeur d""Alene, ID",267,161,2,3,101,7,
02-2005,,,"College Station-Bryan, TX",114,69,6,0,39,4,
02-2005,,,"Colorado Springs, CO",617,553,0,0,64,4,
02-2005,,,"Columbia, MO",116,80,12,0,24,2,
02-2005,,,"Columbia, SC",608,541,0,3,64,4,
02-2005,,,"Columbus, GA-AL",145,145,0,0,0,0,
02-2005,,,"Columbus, IN",17,17,0,0,0,0,
02-2005,,,"Columbus, OH",600,539,4,13,44,5,
02-2005,,,"Corpus Christi, TX",154,127,2,0,25,3,
02-2005,,,"Corvallis, OR",105,18,0,0,87,1,
02-2005,,,"Cumberland, MD-WV",9,9,0,0,0,0,
02-2005,,,"Dallas-Fort Worth-Arlington, TX",4647,3525,24,11,1087,39,
02-2005,,,"Dalton, GA",70,50,0,4,16,3,
02-2005,,,"Danville, IL",0,0,0,0,0,0,
02-2005,,,"Danville, VA",24,19,0,0,5,1,
02-2005,,,"Davenport-Moline-Rock Island, IA-IL",37,37,0,0,0,0,
02-2005,,,"Dayton, OH",223,209,2,12,0,0,
02-2005,,,"Decatur, AL",32,32,0,0,0,0,
02-2005,,,"Decatur, IL",3,3,0,0,0,0,
02-2005,,,"Deltona-Daytona Beach-Ormond Beach, FL",447,388,2,0,57,5,
02-2005,,,"Denver-Aurora, CO",1287,1173,6,0,108,11,
02-2005,,,"Des Moines, IA",265,263,2,0,0,0,
02-2005,,,"Detroit-Warren-Livonia, MI",1469,1317,8,11,133,15,
02-2005,,,"Dothan, AL",45,45,0,0,0,0,
02-2005,,,"Dover, DE",139,135,0,4,0,0,
02-2005,,,"Dubuque, IA",17,15,2,0,0,0,
02-2005,,,"Duluth, MN-WI",27,27,0,0,0,0,
02-2005,,,"Durham, NC",364,309,4,3,48,6,
02-2005,,,"Eau Claire, WI",29,24,0,0,5,1,
02-2005,,,"El Centro, CA",61,50,0,3,8,1,
02-2005,,,"El Paso, TX",558,340,0,3,215,43,
02-2005,,,"Elizabethtown, KY",94,94,0,0,0,0,
02-2005,,,"Elkhart-Goshen, IN",54,54,0,0,0,0,
02-2005,,,"Elmira, NY",0,0,0,0,0,0,
02-2005,,,"Erie, PA",15,9,0,0,6,1,
02-2005,,,"Eugene-Springfield, OR",173,95,10,63,5,1,
02-2005,,,"Evansville, IN-KY",112,107,0,0,5,1,
02-2005,,,"Fairbanks, AK",1,1,0,0,0,0,
02-2005,,,"Fargo, ND-MN",267,15,0,0,252,6,
02-2005,,,"Farmington, NM",22,22,0,0,0,0,
02-2005,,,"Fayetteville, NC",298,242,0,0,56,7,
02-2005,,,"Fayetteville-Springdale-Rogers, AR-MO",763,274,18,12,459,28,
02-2005,,,"Flagstaff, AZ",47,47,0,0,0,0,
02-2005,,,"Flint, MI",185,185,0,0,0,0,
02-2005,,,"Florence, SC",20,20,0,0,0,0,
02-2005,,,"Florence-Muscle Shoals, AL",49,20,8,0,21,3,
02-2005,,,"Fond du Lac, WI",7,5,2,0,0,0,
02-2005,,,"Fort Collins-Loveland, CO",202,184,4,0,14,2,
02-2005,,,"Fort Smith, AR-OK",79,49,30,0,0,0,
02-2005,,,"Fort Walton Beach-Crestview-Destin, FL",103,100,0,3,0,0,
02-2005,,,"Fort Wayne, IN",164,128,0,0,36,1,
02-2005,,,"Fresno, CA",446,256,6,3,181,23,
02-2005,,,"Gadsden, AL",16,16,0,0,0,0,
02-2005,,,"Gainesville, FL",182,98,0,44,40,2,
02-2005,,,"Gainesville, GA",116,112,4,0,0,0,
02-2005,,,"Glens Falls, NY",33,26,2,0,5,1,
02-2005,,,"Goldsboro, NC",36,36,0,0,0,0,
02-2005,,,"Grand Forks, ND-MN",0,0,0,0,0,0,
02-2005,,,"Grand Junction, CO",105,105,0,0,0,0,
02-2005,,,"Grand Rapids-Wyoming, MI",509,497,4,3,5,1,
02-2005,,,"Great Falls, MT",9,7,2,0,0,0,
02-2005,,,"Greeley, CO",284,281,0,3,0,0,
02-2005,,,"Green Bay, WI",128,95,8,0,25,2,
02-2005,,,"Greensboro-High Point, NC",476,444,4,0,28,4,
02-2005,,,"Greenville, NC",152,90,2,0,60,5,
02-2005,,,"Greenville, SC",394,385,4,0,5,1,
02-2005,,,"Gulfport-Biloxi, MS",150,148,2,0,0,0,
02-2005,,,"Hagerstown-Martinsburg, MD-WV",317,233,0,7,77,7,
02-2005,,,"Hanford-Corcoran, CA",34,34,0,0,0,0,
02-2005,,,"Harrisburg-Carlisle, PA",90,83,2,0,5,1,
02-2005,,,"Harrisonburg, VA",100,98,2,0,0,0,
02-2005,,,"Hartford-West Hartford-East Hartford, CT",194,155,2,0,37,4,
02-2005,,,"Hattiesburg, MS",9,9,0,0,0,0,
02-2005,,,"Hickory-Lenoir-Morganton, NC",109,109,0,0,0,0,
02-2005,,,"Hinesville-Fort Stewart, GA",15,13,2,0,0,0,
02-2005,,,"Holland-Grand Haven, MI",151,135,4,7,5,1,
02-2005,,,"Honolulu, HI",276,232,6,3,35,1,
02-2005,,,"Hot Springs, AR",12,12,0,0,0,0,
02-2005,,,"Houma-Bayou Cane-Thibodaux, LA",59,59,0,0,0,0,
02-2005,,,"Houston-Baytown-Sugar Land, TX",4340,3891,48,6,395,34,
02-2005,,,"Huntington-Ashland, WV-KY-OH",5,5,0,0,0,0,
02-2005,,,"Huntsville, AL",214,202,0,12,0,0,
02-2005,,,"Idaho Falls, ID",80,68,0,12,0,0,
02-2005,,,"Indianapolis, IN",802,721,12,35,34,5,
02-2005,,,"Iowa City, IA",124,70,26,4,24,2,
02-2005,,,"Ithaca, NY",9,4,0,0,5,1,
02-2005,,,"Jackson, MI",20,15,0,0,5,1,
02-2005,,,"Jackson, MS",209,181,0,0,28,3,
02-2005,,,"Jackson, TN",30,30,0,0,0,0,
02-2005,,,"Jacksonville, FL",1556,1189,2,0,365,14,
02-2005,,,"Jacksonville, NC",154,114,0,0,40,5,
02-2005,,,"Janesville, WI",102,36,2,0,64,2,
02-2005,,,"Jefferson City, MO",27,27,0,0,0,0,
02-2005,,,"Johnson City, TN",66,66,0,0,0,0,
02-2005,,,"Johnstown, PA",0,0,0,0,0,0,
02-2005,,,"Jonesboro, AR",41,38,0,3,0,0,
02-2005,,,"Joplin, MO",21,21,0,0,0,0,
02-2005,,,"Kalamazoo-Portage, MI",119,104,0,15,0,0,
02-2005,,,"Kankakee-Bradley, IL",8,8,0,0,0,0,
02-2005,,,"Kansas City, MO-KS",1138,856,54,72,156,15,
02-2005,,,"Kennewick-Richland-Pasco, WA",168,144,0,0,24,2,
02-2005,,,"Killeen-Temple-Fort Hood, TX",233,161,40,32,0,0,
02-2005,,,"Kingsport-Bristol-Bristol, TN-VA",67,65,2,0,0,0,
02-2005,,,"Kingston, NY",55,23,0,3,29,3,
02-2005,,,"Knoxville, TN",310,302,8,0,0,0,
02-2005,,,"Kokomo, IN",22,22,0,0,0,0,
02-2005,,,"La Crosse, WI-MN",12,12,0,0,0,0,
02-2005,,,"Lafayette, IN",43,43,0,0,0,0,
02-2005,,,"Lafayette, LA",103,101,2,0,0,0,
02-2005,,,"Lake Charles, LA",62,58,4,0,0,0,
02-2005,,,"Lakeland, FL",740,678,4,0,58,4,
02-2005,,,"Lancaster, PA",97,84,0,0,13,2,
02-2005,,,"Lansing-East Lansing, MI",168,153,0,0,15,1,
02-2005,,,"Laredo, TX",146,136,2,3,5,1,
02-2005,,,"Las Cruces, NM",140,103,0,0,37,3,
02-2005,,,"Las Vegas-Paradise, NV",2998,2517,20,214,247,3,
02-2005,,,"Lawrence, KS",33,21,12,0,0,0,
02-2005,,,"Lawton, OK",11,11,0,0,0,0,
02-2005,,,"Lebanon, PA",51,51,0,0,0,0,
02-2005,,,"Lewiston, ID-WA",9,7,2,0,0,0,
02-2005,,,"Lewiston-Auburn, ME",34,22,4,0,8,1,
02-2005,,,"Lexington-Fayette, KY",379,350,4,0,25,4,
02-2005,,,"Lima, OH",1,1,0,0,0,0,
