date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
06-2006,,,"Abilene, TX",44,42,2,0,0,0,
06-2006,,,"Akron, OH",171,146,2,4,19,1,
06-2006,,,"Albany, GA",53,47,2,4,0,0,
06-2006,,,"Albany-Schenectady-Troy, NY",187,117,0,27,43,3,
06-2006,,,"Albuquerque, NM",561,525,0,6,30,1,
06-2006,,,"Alexandria, LA",68,68,0,0,0,0,
06-2006,,,"Allentown-Bethlehem-Easton, PA-NJ",419,390,4,3,22,2,
06-2006,,,"Altoona, PA",2,2,0,0,0,0,
06-2006,,,"Amarillo, TX",80,80,0,0,0,0,
06-2006,,,"Ames, IA",42,25,0,0,17,1,
06-2006,,,"Anchorage, AK",159,98,8,3,50,7,
06-2006,,,"Anderson, IN",36,30,0,0,6,1,
06-2006,,,"Anderson, SC",117,117,0,0,0,0,
06-2006,,,"Ann Arbor, MI",63,53,0,0,10,2,
06-2006,,,"Anniston-Oxford, AL",20,20,0,0,0,0,
06-2006,,,"Appleton, WI",81,79,2,0,0,0,
06-2006,,,"Asheville, NC",345,297,4,15,29,3,
06-2006,,,"Athens-Clarke County, GA",94,70,2,0,22,2,
06-2006,,,"Atlanta-Sandy Springs-Marietta, GA",6188,5637,22,11,518,26,
06-2006,,,"Atlantic City, NJ",146,133,0,0,13,2,
06-2006,,,"Auburn-Opelika, AL",126,126,0,0,0,0,
06-2006,,,"Augusta-Richmond County, GA-SC",248,248,0,0,0,0,
06-2006,,,"Austin-Round Rock, TX",2155,1631,80,9,435,8,
06-2006,,,"Bakersfield, CA",772,651,22,39,60,8,
06-2006,,,"Baltimore-Towson, MD",911,719,0,26,166,11,
06-2006,,,"Bangor, ME",42,36,2,4,0,0,
06-2006,,,"Barnstable Town, MA",67,56,0,0,11,1,
06-2006,,,"Baton Rouge, LA",502,441,2,3,56,6,
06-2006,,,"Battle Creek, MI",18,11,0,0,7,1,
06-2006,,,"Bay City, MI",7,7,0,0,0,0,
06-2006,,,"Beaumont-Port Arthur, TX",521,41,0,0,480,2,
06-2006,,,"Bellingham, WA",128,101,0,3,24,3,
06-2006,,,"Bend, OR",407,371,12,24,0,0,
06-2006,,,"Billings, MT",85,85,0,0,0,0,
06-2006,,,"Binghamton, NY",10,10,0,0,0,0,
06-2006,,,"Birmingham-Hoover, AL",587,507,12,0,68,1,
06-2006,,,"Bismarck, ND",221,65,0,12,144,13,
06-2006,,,"Bloomington, IN",49,49,0,0,0,0,
06-2006,,,"Bloomington-Normal, IL",71,59,0,0,12,1,
06-2006,,,"Boise City-Nampa, ID",835,703,6,114,12,2,
06-2006,,,"Boston-Cambridge-Quincy, MA-NH",1517,646,76,96,699,32,
06-2006,,,"Boulder, CO",52,37,0,3,12,1,
