date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
09-2007,,,"Abilene, TX",20,20,0,0,0,0,
09-2007,,,"Akron, OH",90,76,0,3,11,1,
09-2007,,,"Albany, GA",56,24,2,0,30,1,
09-2007,,,"Albany-Schenectady-Troy, NY",299,81,0,4,214,3,
09-2007,,,"Albuquerque, NM",164,164,0,0,0,0,
09-2007,,,"Alexandria, LA",29,29,0,0,0,0,
09-2007,,,"Allentown-Bethlehem-Easton, PA-NJ",217,197,2,3,15,3,
09-2007,,,"Altoona, PA",2,2,0,0,0,0,
09-2007,,,"Amarillo, TX",30,30,0,0,0,0,
09-2007,,,"Ames, IA",10,10,0,0,0,0,
09-2007,,,"Anchorage, AK",85,42,0,0,43,3,
09-2007,,,"Anderson, IN",10,10,0,0,0,0,
09-2007,,,"Anderson, SC",83,83,0,0,0,0,
09-2007,,,"Ann Arbor, MI",25,20,0,0,5,1,
09-2007,,,"Anniston-Oxford, AL",8,8,0,0,0,0,
09-2007,,,"Appleton, WI",51,51,0,0,0,0,
09-2007,,,"Asheville, NC",217,205,2,3,7,1,
09-2007,,,"Athens-Clarke County, GA",36,32,0,4,0,0,
09-2007,,,"Atlanta-Sandy Springs-Marietta, GA",2847,1936,4,26,881,16,
09-2007,,,"Atlantic City, NJ",42,42,0,0,0,0,
09-2007,,,"Auburn-Opelika, AL",79,77,2,0,0,0,
09-2007,,,"Augusta-Richmond County, GA-SC",187,187,0,0,0,0,
09-2007,,,"Austin-Round Rock, TX",947,803,30,8,106,3,
09-2007,,,"Bakersfield, CA",228,183,2,38,5,1,
09-2007,,,"Baltimore-Towson, MD",355,350,0,0,5,1,
09-2007,,,"Bangor, ME",23,19,4,0,0,0,
09-2007,,,"Barnstable Town, MA",72,64,0,3,5,1,
09-2007,,,"Baton Rouge, LA",890,329,4,0,557,22,
09-2007,,,"Battle Creek, MI",3,3,0,0,0,0,
09-2007,,,"Bay City, MI",2,2,0,0,0,0,
09-2007,,,"Beaumont-Port Arthur, TX",27,27,0,0,0,0,
09-2007,,,"Bellingham, WA",23,23,0,0,0,0,
09-2007,,,"Bend, OR",125,110,2,13,0,0,
09-2007,,,"Billings, MT",43,43,0,0,0,0,
09-2007,,,"Binghamton, NY",6,6,0,0,0,0,
09-2007,,,"Birmingham-Hoover, AL",280,268,0,4,8,1,
09-2007,,,"Bismarck, ND",164,44,0,4,116,4,
09-2007,,,"Bloomington, IN",36,28,4,4,0,0,
09-2007,,,"Bloomington-Normal, IL",39,30,0,0,9,1,
09-2007,,,"Boise City-Nampa, ID",275,233,6,36,0,0,
09-2007,,,"Boston-Cambridge-Quincy, MA-NH",678,388,28,10,252,21,
09-2007,,,"Boulder, CO",34,16,0,3,15,2,
09-2007,,,"Bowling Green, KY",59,37,4,0,18,2,
09-2007,,,"Bremerton-Silverdale, WA",58,58,0,0,0,0,
09-2007,,,"Bridgeport-Stamford-Norwalk, CT",88,51,2,0,35,2,
09-2007,,,"Brownsville-Harlingen, TX",134,116,10,0,8,1,
09-2007,,,"Brunswick, GA",44,44,0,0,0,0,
09-2007,,,"Buffalo-Niagara Falls, NY",69,59,0,0,10,1,
09-2007,,,"Burlington, NC",92,92,0,0,0,0,
09-2007,,,"Burlington-South Burlington, VT",90,23,2,4,61,2,
09-2007,,,"Canton-Massillon, OH",32,32,0,0,0,0,
09-2007,,,"Cape Coral-Fort Myers, FL",149,147,2,0,0,0,
09-2007,,,"Carson City, NV",3,3,0,0,0,0,
09-2007,,,"Casper, WY",15,15,0,0,0,0,
09-2007,,,"Cedar Rapids, IA",81,62,0,19,0,0,
09-2007,,,"Champaign-Urbana, IL",47,23,0,0,24,3,
09-2007,,,"Charleston, WV",17,17,0,0,0,0,
09-2007,,,"Charleston-North Charleston, SC",599,379,0,3,217,8,
09-2007,,,"Charlotte-Gastonia-Concord, NC-SC",1552,992,10,7,543,12,
