date,csa,cbsa,name,total,one_unit,two_units,three_and_four_units,five_units_or_more,num_of_structures_with_5_units_or_more,monthly_coverage_percent
02-2012,999,10180,"Abilene, TX",22,20,2,0,0,0,99
02-2012,184,10420,"Akron, OH",23,21,2,0,0,0,72
02-2012,999,10500,"Albany, GA",14,14,0,0,0,0,94
02-2012,104,10580,"Albany-Schenectady-Troy, NY",70,50,4,0,16,2,58
02-2012,999,10740,"Albuquerque, NM",145,120,0,4,21,2,100
02-2012,999,10780,"Alexandria, LA",40,28,2,0,10,1,98
02-2012,999,10900,"Allentown-Bethlehem-Easton, PA-NJ",64,47,0,7,10,2,100
02-2012,999,11020,"Altoona, PA",2,2,0,0,0,0,8
02-2012,999,11100,"Amarillo, TX",33,27,6,0,0,0,92
02-2012,112,11180,"Ames, IA",7,7,0,0,0,0,93
02-2012,999,11260,"Anchorage, AK",23,19,0,4,0,0,100
02-2012,294,11300,"Anderson, IN",2,2,0,0,0,0,79
02-2012,273,11340,"Anderson, SC",33,33,0,0,0,0,85
02-2012,220,11460,"Ann Arbor, MI",24,19,0,0,5,1,88
02-2012,999,11500,"Anniston-Oxford, AL",1,1,0,0,0,0,78
02-2012,118,11540,"Appleton, WI",73,21,0,4,48,6,81
02-2012,120,11700,"Asheville, NC",63,63,0,0,0,0,96
02-2012,999,12020,"Athens-Clarke County, GA",128,128,0,0,0,0,73
02-2012,122,12060,"Atlanta-Sandy Springs-Marietta, GA",1488,643,8,4,833,10,100
02-2012,999,12100,"Atlantic City-Hammonton, NJ",30,22,0,0,8,1,100
02-2012,194,12220,"Auburn-Opelika, AL",100,44,0,0,56,7,100
02-2012,999,12260,"Augusta-Richmond County, GA-SC",201,192,0,9,0,0,88
02-2012,126,12420,"Austin-Round Rock-San Marcos, TX",1366,521,10,0,835,39,100
02-2012,999,12540,"Bakersfield-Delano, CA",117,89,0,0,28,3,98
02-2012,548,12580,"Baltimore-Towson, MD",379,319,0,0,60,2,100
02-2012,999,12620,"Bangor, ME",11,5,0,0,6,1,47
02-2012,999,12700,"Barnstable Town, MA",37,32,0,0,5,1,82
02-2012,132,12940,"Baton Rouge, LA",255,248,2,0,5,1,94
02-2012,999,12980,"Battle Creek, MI",1,1,0,0,0,0,27
02-2012,474,13020,"Bay City, MI",1,1,0,0,0,0,22
02-2012,999,13140,"Beaumont-Port Arthur, TX",62,62,0,0,0,0,71
02-2012,999,13380,"Bellingham, WA",9,9,0,0,0,0,60
02-2012,140,13460,"Bend, OR",39,39,0,0,0,0,100
02-2012,999,13740,"Billings, MT",36,24,0,0,12,1,95
02-2012,999,13780,"Binghamton, NY",0,0,0,0,0,0,19
02-2012,142,13820,"Birmingham-Hoover, AL",149,149,0,0,0,0,100
02-2012,999,13900,"Bismarck, ND",48,43,0,0,5,1,98
02-2012,999,14020,"Bloomington, IN",21,21,0,0,0,0,99
02-2012,999,14060,"Bloomington-Normal, IL",31,13,0,0,18,1,85
02-2012,999,14260,"Boise City-Nampa, ID",208,168,0,40,0,0,100
02-2012,148,14460,"Boston-Cambridge-Quincy, MA-NH",993,220,20,25,728,16,100
02-2012,216,14500,"Boulder, CO",24,20,0,4,0,0,92
02-2012,999,14540,"Bowling Green, KY",107,35,0,16,56,5,99
02-2012,500,14740,"Bremerton-Silverdale, WA",28,28,0,0,0,0,49
02-2012,408,14860,"Bridgeport-Stamford-Norwalk, CT",286,26,0,0,260,6,83
02-2012,154,15180,"Brownsville-Harlingen, TX",76,69,2,0,5,1,82
02-2012,999,15260,"Brunswick, GA",29,29,0,0,0,0,81
02-2012,160,15380,"Buffalo-Niagara Falls, NY",47,38,0,0,9,1,71
02-2012,268,15500,"Burlington, NC",26,26,0,0,0,0,97
02-2012,999,15540,"Burlington-South Burlington, VT",23,23,0,0,0,0,88
02-2012,999,15940,"Canton-Massillon, OH",14,12,2,0,0,0,82
02-2012,999,15980,"Cape Coral-Fort Myers, FL",138,124,4,4,6,1,100
02-2012,164,16020,"Cape Girardeau-Jackson, MO-IL",14,14,0,0,0,0,100
02-2012,999,16180,"Carson City, NV",1,1,0,0,0,0,100
02-2012,999,16220,"Casper, WY",15,15,0,0,0,0,87
02-2012,999,16300,"Cedar Rapids, IA",26,23,0,3,0,0,92
02-2012,999,16580,"Champaign-Urbana, IL",57,14,2,0,41,2,81
02-2012,999,16620,"Charleston, WV",13,11,2,0,0,0,41
02-2012,999,16700,"Charleston-North Charleston-Summerville, SC",326,228,0,0,98,5,100
02-2012,172,16740,"Charlotte-Gastonia-Rock Hill, NC-SC",923,531,0,20,372,3,100
02-2012,999,16820,"Charlottesville, VA",69,53,0,0,16,1,87
02-2012,174,16860,"Chattanooga, TN-GA",84,76,0,0,8,1,82
02-2012,999,16940,"Cheyenne, WY",22,22,0,0,0,0,100
02-2012,176,16980,"Chicago-Joliet-Naperville, IL-IN-WI",290,234,0,3,53,4,100
02-2012,999,17020,"Chico, CA",19,19,0,0,0,0,99
02-2012,178,17140,"Cincinnati-Middletown, OH-KY-IN",195,163,4,8,20,2,100
02-2012,999,17300,"Clarksville, TN-KY",158,148,6,4,0,0,94
02-2012,174,17420,"Cleveland, TN",48,17,0,3,28,1,82
02-2012,184,17460,"Cleveland-Elyria-Mentor, OH",93,83,0,0,10,2,100
02-2012,999,17660,"Coeur dAlene, ID",32,22,0,0,10,1,98
02-2012,999,17780,"College Station-Bryan, TX",103,89,14,0,0,0,98
02-2012,999,17820,"Colorado Springs, CO",117,117,0,0,0,0,100
02-2012,999,17860,"Columbia, MO",29,23,6,0,0,0,100
02-2012,192,17900,"Columbia, SC",248,216,0,0,32,2,100
02-2012,194,17980,"Columbus, GA-AL",59,46,2,0,11,2,79
02-2012,294,18020,"Columbus, IN",17,17,0,0,0,0,99
02-2012,198,18140,"Columbus, OH",178,153,2,0,23,4,100
02-2012,204,18580,"Corpus Christi, TX",69,69,0,0,0,0,86
02-2012,102,18700,"Corvallis, OR",49,13,0,0,36,1,59
02-2012,999,18880,"Crestview-Fort Walton Beach-Destin, FL",25,25,0,0,0,0,68
02-2012,999,19060,"Cumberland, MD-WV",1,1,0,0,0,0,27
02-2012,206,19100,"Dallas-Fort Worth-Arlington, TX",1485,1201,14,0,270,8,100
02-2012,999,19140,"Dalton, GA",8,8,0,0,0,0,100
02-2012,999,19180,"Danville, IL",1,1,0,0,0,0,15
02-2012,999,19260,"Danville, VA",11,6,0,0,5,1,56
02-2012,999,19340,"Davenport-Moline-Rock Island, IA-IL",18,18,0,0,0,0,66
02-2012,212,19380,"Dayton, OH",52,52,0,0,0,0,93
02-2012,290,19460,"Decatur, AL",4,4,0,0,0,0,76
02-2012,999,19500,"Decatur, IL",0,0,0,0,0,0,25
02-2012,422,19660,"Deltona-Daytona Beach-Ormond Beach, FL",52,46,0,0,6,1,100
02-2012,216,19740,"Denver-Aurora-Broomfield, CO",458,339,14,0,105,4,100
02-2012,218,19780,"Des Moines-West Des Moines, IA",120,118,2,0,0,0,100
02-2012,220,19820,"Detroit-Warren-Livonia, MI",210,202,0,8,0,0,100
02-2012,222,20020,"Dothan, AL",19,19,0,0,0,0,78
02-2012,999,20100,"Dover, DE",83,57,0,0,26,4,100
02-2012,999,20220,"Dubuque, IA",22,22,0,0,0,0,88
02-2012,999,20260,"Duluth, MN-WI",17,12,0,0,5,1,67
02-2012,450,20500,"Durham-Chapel Hill, NC",198,152,0,0,46,2,100
02-2012,232,20740,"Eau Claire, WI",37,15,2,0,20,1,87
02-2012,999,20940,"El Centro, CA",11,11,0,0,0,0,85
02-2012,999,21340,"El Paso, TX",234,228,6,0,0,0,98
02-2012,350,21060,"Elizabethtown, KY",27,27,0,0,0,0,53
02-2012,515,21140,"Elkhart-Goshen, IN",12,12,0,0,0,0,99
02-2012,999,21300,"Elmira, NY",1,1,0,0,0,0,28
02-2012,999,21500,"Erie, PA",42,6,0,36,0,0,72
02-2012,999,21660,"Eugene-Springfield, OR",56,22,2,11,21,3,100
02-2012,999,21780,"Evansville, IN-KY",27,27,0,0,0,0,82
02-2012,999,21820,"Fairbanks, AK",3,3,0,0,0,0,100
02-2012,244,22020,"Fargo, ND-MN",56,11,0,0,45,1,94
02-2012,999,22140,"Farmington, NM",4,4,0,0,0,0,100
02-2012,999,22180,"Fayetteville, NC",205,113,0,0,92,7,96
02-2012,999,22220,"Fayetteville-Springdale-Rogers, AR-MO",126,106,20,0,0,0,93
02-2012,999,22380,"Flagstaff, AZ",200,8,0,0,192,21,87
02-2012,220,22420,"Flint, MI",6,6,0,0,0,0,69
02-2012,999,22500,"Florence, SC",34,32,2,0,0,0,82
02-2012,999,22520,"Florence-Muscle Shoals, AL",16,10,6,0,0,0,97
02-2012,252,22540,"Fond du Lac, WI",6,1,0,0,5,1,71
02-2012,999,22660,"Fort Collins-Loveland, CO",73,63,0,4,6,1,100
02-2012,999,22900,"Fort Smith, AR-OK",30,28,2,0,0,0,87
02-2012,258,23060,"Fort Wayne, IN",37,37,0,0,0,0,100
02-2012,260,23420,"Fresno, CA",124,99,0,3,22,2,77
02-2012,999,23460,"Gadsden, AL",3,3,0,0,0,0,48
02-2012,999,23540,"Gainesville, FL",48,31,0,0,17,1,93
02-2012,122,23580,"Gainesville, GA",16,16,0,0,0,0,83
02-2012,104,24020,"Glens Falls, NY",14,14,0,0,0,0,78
02-2012,999,24140,"Goldsboro, NC",18,18,0,0,0,0,69
02-2012,999,24220,"Grand Forks, ND-MN",0,0,0,0,0,0,65
02-2012,999,24300,"Grand Junction, CO",22,22,0,0,0,0,100
02-2012,266,24340,"Grand Rapids-Wyoming, MI",61,61,0,0,0,0,100
02-2012,999,24500,"Great Falls, MT",1,1,0,0,0,0,64
02-2012,216,24540,"Greeley, CO",70,62,0,0,8,1,100
02-2012,999,24580,"Green Bay, WI",21,19,2,0,0,0,85
02-2012,268,24660,"Greensboro-High Point, NC",229,97,2,0,130,4,100
02-2012,999,24780,"Greenville, NC",40,30,10,0,0,0,99
02-2012,273,24860,"Greenville-Maudlin-Easley, SC",194,164,0,0,30,1,100
